Layer,Unit,Period,Time,Units_demand,Units_supply,Units_curtailment,BAT_E_stored
Electricity,Air_Conditioner_Air_Building4,1,1,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,2,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,3,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,4,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,5,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,6,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,7,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,8,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,9,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,10,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,11,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,12,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,13,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,14,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,15,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,16,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,17,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,18,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,19,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,20,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,21,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,22,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,23,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,1,24,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,2,1,0.0,0.0,0.0,
