,,,GWP_supply
Electricity,1,1,0.318623
Electricity,1,2,0.342196
Electricity,1,3,0.316861
Electricity,1,4,0.30991900000000006
Electricity,1,5,0.300545
Electricity,1,6,0.30267900000000003
Electricity,1,7,0.303701
Electricity,1,8,0.25967
Electricity,1,9,0.247011
Electricity,1,10,0.257153
Electricity,1,11,0.23686600000000002
Electricity,1,12,0.22259299999999999
Electricity,1,13,0.201717
Electricity,1,14,0.201117
Electricity,1,15,0.216452
Electricity,1,16,0.236263
Electricity,1,17,0.236696
Electricity,1,18,0.225374
Electricity,1,19,0.225833
Electricity,1,20,0.21076599999999998
Electricity,1,21,0.21
Electricity,1,22,0.248705
Electricity,1,23,0.27424400000000004
Electricity,1,24,0.29729099999999997
Electricity,2,1,0.302896
Electricity,2,2,0.298242
Electricity,2,3,0.33075699999999997
Electricity,2,4,0.311898
Electricity,2,5,0.290507
Electricity,2,6,0.26824400000000004
Electricity,2,7,0.230544
Electricity,2,8,0.229689
Electricity,2,9,0.22318700000000002
Electricity,2,10,0.21956299999999998
Electricity,2,11,0.20061500000000002
Electricity,2,12,0.201044
Electricity,2,13,0.16498400000000002
Electricity,2,14,0.18138200000000002
Electricity,2,15,0.20194700000000002
Electricity,2,16,0.226835
Electricity,2,17,0.223518
Electricity,2,18,0.22134700000000002
Electricity,2,19,0.238102
Electricity,2,20,0.22245099999999998
Electricity,2,21,0.211918
Electricity,2,22,0.261545
Electricity,2,23,0.250686
Electricity,2,24,0.245828
Electricity,3,1,0.125128
Electricity,3,2,0.123682
Electricity,3,3,0.121327
Electricity,3,4,0.123262
Electricity,3,5,0.121048
Electricity,3,6,0.118749
Electricity,3,7,0.113884
Electricity,3,8,0.10339100000000001
Electricity,3,9,0.105284
Electricity,3,10,0.094006
Electricity,3,11,0.09083799999999999
Electricity,3,12,0.08237
Electricity,3,13,0.085006
Electricity,3,14,0.07043899999999999
Electricity,3,15,0.076602
Electricity,3,16,0.090359
Electricity,3,17,0.08767299999999999
Electricity,3,18,0.067816
Electricity,3,19,0.08749700000000002
Electricity,3,20,0.118916
Electricity,3,21,0.109189
Electricity,3,22,0.100994
Electricity,3,23,0.104582
Electricity,3,24,0.110652
Electricity,4,1,0.30847199999999997
Electricity,4,2,0.320935
Electricity,4,3,0.325818
Electricity,4,4,0.30528700000000003
Electricity,4,5,0.29758
Electricity,4,6,0.313118
Electricity,4,7,0.260463
Electricity,4,8,0.252333
Electricity,4,9,0.26556599999999997
Electricity,4,10,0.241772
Electricity,4,11,0.245541
Electricity,4,12,0.236206
Electricity,4,13,0.22633799999999998
Electricity,4,14,0.22214599999999998
Electricity,4,15,0.226449
Electricity,4,16,0.238661
Electricity,4,17,0.237204
Electricity,4,18,0.227993
Electricity,4,19,0.22756200000000001
Electricity,4,20,0.228462
Electricity,4,21,0.215438
Electricity,4,22,0.227055
Electricity,4,23,0.238787
Electricity,4,24,0.241084
Electricity,5,1,0.223438
Electricity,5,2,0.23242
Electricity,5,3,0.226835
Electricity,5,4,0.203833
Electricity,5,5,0.20144
Electricity,5,6,0.21533900000000003
Electricity,5,7,0.262153
Electricity,5,8,0.25910500000000003
Electricity,5,9,0.25674
Electricity,5,10,0.263308
Electricity,5,11,0.233993
Electricity,5,12,0.22454400000000002
Electricity,5,13,0.21286000000000002
Electricity,5,14,0.20613800000000002
Electricity,5,15,0.192448
Electricity,5,16,0.190358
Electricity,5,17,0.187875
Electricity,5,18,0.174416
Electricity,5,19,0.17688800000000002
Electricity,5,20,0.200752
Electricity,5,21,0.203294
Electricity,5,22,0.188312
Electricity,5,23,0.21360300000000002
Electricity,5,24,0.221167
Electricity,6,1,0.218552
Electricity,6,2,0.20558900000000002
Electricity,6,3,0.194341
Electricity,6,4,0.18737299999999998
Electricity,6,5,0.172531
Electricity,6,6,0.221328
Electricity,6,7,0.242113
Electricity,6,8,0.245705
Electricity,6,9,0.25775
Electricity,6,10,0.25087
Electricity,6,11,0.244064
Electricity,6,12,0.24661900000000003
Electricity,6,13,0.235897
Electricity,6,14,0.222219
Electricity,6,15,0.23255
Electricity,6,16,0.236504
Electricity,6,17,0.239064
Electricity,6,18,0.23400200000000002
Electricity,6,19,0.252608
Electricity,6,20,0.253989
Electricity,6,21,0.24786000000000002
Electricity,6,22,0.244126
Electricity,6,23,0.228899
Electricity,6,24,0.2522
Electricity,7,1,0.06536499999999999
Electricity,7,2,0.042699
Electricity,7,3,0.033124
Electricity,7,4,0.030601
Electricity,7,5,0.028079999999999997
Electricity,7,6,0.027052
Electricity,7,7,0.022414
Electricity,7,8,0.034866
Electricity,7,9,0.044582000000000004
Electricity,7,10,0.040288
Electricity,7,11,0.035715000000000004
Electricity,7,12,0.046421000000000004
Electricity,7,13,0.055966
Electricity,7,14,0.061691
Electricity,7,15,0.062244
Electricity,7,16,0.060173000000000004
Electricity,7,17,0.061019
Electricity,7,18,0.06325800000000001
Electricity,7,19,0.07052
Electricity,7,20,0.06525700000000001
Electricity,7,21,0.074074
Electricity,7,22,0.073745
Electricity,7,23,0.12184600000000001
Electricity,7,24,0.109636
Electricity,8,1,0.093296
Electricity,8,2,0.07059100000000001
Electricity,8,3,0.052777000000000004
Electricity,8,4,0.055229999999999994
Electricity,8,5,0.057139
Electricity,8,6,0.055369
Electricity,8,7,0.06314600000000001
Electricity,8,8,0.055524000000000004
Electricity,8,9,0.06948
Electricity,8,10,0.06912399999999999
Electricity,8,11,0.070842
Electricity,8,12,0.082515
Electricity,8,13,0.08342200000000001
Electricity,8,14,0.084385
Electricity,8,15,0.085886
Electricity,8,16,0.087022
Electricity,8,17,0.088859
Electricity,8,18,0.089569
Electricity,8,19,0.07602199999999999
Electricity,8,20,0.083252
Electricity,8,21,0.137255
Electricity,8,22,0.187773
Electricity,8,23,0.191274
Electricity,8,24,0.13369
Electricity,9,1,0.161268
Electricity,9,2,0.13102
Electricity,9,3,0.11608199999999999
Electricity,9,4,0.114568
Electricity,9,5,0.11536400000000001
Electricity,9,6,0.135478
Electricity,9,7,0.17331200000000002
Electricity,9,8,0.196536
Electricity,9,9,0.245931
Electricity,9,10,0.240273
Electricity,9,11,0.218472
Electricity,9,12,0.22896799999999998
Electricity,9,13,0.19190700000000002
Electricity,9,14,0.188613
Electricity,9,15,0.188912
Electricity,9,16,0.20004
Electricity,9,17,0.225332
Electricity,9,18,0.243754
Electricity,9,19,0.25694
Electricity,9,20,0.27732999999999997
Electricity,9,21,0.26124200000000003
Electricity,9,22,0.241946
Electricity,9,23,0.25112
Electricity,9,24,0.209124
Electricity,10,1,0.11011499999999999
Electricity,10,2,0.099646
Electricity,10,3,0.08192200000000001
Electricity,10,4,0.077554
Electricity,10,5,0.078232
Electricity,10,6,0.088338
Electricity,10,7,0.14795
Electricity,10,8,0.193736
Electricity,10,9,0.22010300000000002
Electricity,10,10,0.216501
Electricity,10,11,0.20752199999999998
Electricity,10,12,0.206511
Electricity,10,13,0.19598400000000002
Electricity,10,14,0.149951
Electricity,10,15,0.13686700000000002
Electricity,10,16,0.120578
Electricity,10,17,0.107999
Electricity,10,18,0.110866
Electricity,10,19,0.161685
Electricity,10,20,0.16686900000000002
Electricity,10,21,0.152035
Electricity,10,22,0.138244
Electricity,10,23,0.16855900000000001
Electricity,10,24,0.108839
Electricity,11,1,0.146395
Electricity,12,1,0.122655
