,,,GWP_supply
Electricity,1,1,0.342
Electricity,1,2,0.278
Electricity,1,3,0.251
Electricity,1,4,0.228
Electricity,1,5,0.2189999999999999
Electricity,1,6,0.248
Electricity,1,7,0.363
Electricity,1,8,0.584
Electricity,1,9,0.643
Electricity,1,10,0.611
Electricity,1,11,0.5720000000000001
Electricity,1,12,0.578
Electricity,1,13,0.5529999999999999
Electricity,1,14,0.537
Electricity,1,15,0.546
Electricity,1,16,0.578
Electricity,1,17,0.631
Electricity,1,18,0.6579999999999999
Electricity,1,19,0.66
Electricity,1,20,0.612
Electricity,1,21,0.5670000000000001
Electricity,1,22,0.466
Electricity,1,23,0.433
Electricity,1,24,0.3429999999999999
Electricity,2,1,0.318
Electricity,2,2,0.257
Electricity,2,3,0.228
Electricity,2,4,0.216
Electricity,2,5,0.212
Electricity,2,6,0.285
Electricity,2,7,0.509
Electricity,2,8,0.65
Electricity,2,9,0.6759999999999999
Electricity,2,10,0.674
Electricity,2,11,0.6609999999999999
Electricity,2,12,0.657
Electricity,2,13,0.627
Electricity,2,14,0.585
Electricity,2,15,0.5579999999999999
Electricity,2,16,0.508
Electricity,2,17,0.485
Electricity,2,18,0.588
Electricity,2,19,0.573
Electricity,2,20,0.521
Electricity,2,21,0.503
Electricity,2,22,0.3989999999999999
Electricity,2,23,0.39
Electricity,2,24,0.365
Electricity,3,1,0.478
Electricity,3,2,0.491
Electricity,3,3,0.467
Electricity,3,4,0.455
Electricity,3,5,0.42
Electricity,3,6,0.371
Electricity,3,7,0.336
Electricity,3,8,0.302
Electricity,3,9,0.291
Electricity,3,10,0.27
Electricity,3,11,0.252
Electricity,3,12,0.253
Electricity,3,13,0.243
Electricity,3,14,0.225
Electricity,3,15,0.2269999999999999
Electricity,3,16,0.241
Electricity,3,17,0.241
Electricity,3,18,0.2289999999999999
Electricity,3,19,0.2789999999999999
Electricity,3,20,0.369
Electricity,3,21,0.365
Electricity,3,22,0.362
Electricity,3,23,0.379
Electricity,3,24,0.409
Electricity,4,1,0.299
Electricity,4,2,0.2739999999999999
Electricity,4,3,0.252
Electricity,4,4,0.236
Electricity,4,5,0.23
Electricity,4,6,0.258
Electricity,4,7,0.467
Electricity,4,8,0.643
Electricity,4,9,0.665
Electricity,4,10,0.6859999999999999
Electricity,4,11,0.6779999999999999
Electricity,4,12,0.679
Electricity,4,13,0.6729999999999999
Electricity,4,14,0.669
