HourOfYear,PeriodOfYear,Domestic_electricity
1,1,0.0
2,1,0.0
3,1,0.0
4,1,0.0
5,1,0.0
6,1,0.0
7,1,14.57057358362366
8,1,14.57057358362366
9,1,14.57057358362366
10,1,14.57057358362366
11,1,14.57057358362366
12,1,14.57057358362366
13,1,14.57057358362366
14,1,14.57057358362366
15,1,14.57057358362366
16,1,14.57057358362366
17,1,14.57057358362366
18,1,14.57057358362366
19,1,14.57057358362366
20,1,0.0
21,1,0.0
22,1,0.0
23,1,0.0
24,1,0.0
25,1,0.0
26,1,0.0
27,1,0.0
28,1,0.0
29,1,0.0
30,1,0.0
31,1,14.57057358362366
32,1,14.57057358362366
33,1,14.57057358362366
34,1,14.57057358362366
35,1,14.57057358362366
36,1,14.57057358362366
37,1,14.57057358362366
38,1,14.57057358362366
39,1,14.57057358362366
40,1,14.57057358362366
41,1,14.57057358362366
42,1,14.57057358362366
43,1,14.57057358362366
44,1,0.0
45,1,0.0
46,1,0.0
47,1,0.0
48,1,0.0
49,1,0.0
50,1,0.0
51,1,0.0
52,1,0.0
53,1,0.0
54,1,0.0
55,1,14.57057358362366
56,1,14.57057358362366
57,1,14.57057358362366
58,1,14.57057358362366
59,1,14.57057358362366
60,1,14.57057358362366
61,1,14.57057358362366
62,1,14.57057358362366
63,1,14.57057358362366
64,1,14.57057358362366
65,1,14.57057358362366
66,1,14.57057358362366
67,1,14.57057358362366
68,1,0.0
69,1,0.0
70,1,0.0
71,1,0.0
72,1,0.0
73,1,0.0
74,1,0.0
75,1,0.0
76,1,0.0
77,1,0.0
78,1,0.0
79,1,14.57057358362366
80,1,14.57057358362366
81,1,14.57057358362366
82,1,14.57057358362366
83,1,14.57057358362366
84,1,14.57057358362366
85,1,14.57057358362366
86,1,14.57057358362366
87,1,14.57057358362366
88,1,14.57057358362366
89,1,14.57057358362366
90,1,14.57057358362366
91,1,14.57057358362366
92,1,0.0
93,1,0.0
94,1,0.0
95,1,0.0
96,1,0.0
97,2,0.5564376000000002
98,2,0.5564376000000002
99,2,0.5564376000000002
100,2,0.5564376000000002
101,2,0.5564376000000002
102,2,0.5564376000000002
103,2,31.30064105070348
104,2,33.52639145070348
105,2,33.52639145070348
106,2,33.52639145070348
107,2,33.52639145070348
108,2,33.52639145070348
109,2,33.52639145070348
110,2,33.52639145070348
111,2,33.52639145070348
112,2,33.52639145070348
113,2,33.52639145070348
114,2,33.52639145070348
115,2,33.52639145070348
116,2,18.95581786707982
117,2,16.73006746707982
118,2,16.73006746707982
119,2,0.5564376000000002
120,2,0.5564376000000002
121,3,10.23845184
122,3,13.57707744
123,3,13.57707744
124,3,13.57707744
125,3,13.57707744
126,3,13.57707744
127,3,44.32128089070348
128,3,109.1583646953549
129,3,129.1901182953549
130,3,147.5525590953549
131,3,165.914999895355
132,3,147.5525590953549
133,3,98.30783149535496
134,3,129.1901182953549
135,3,165.914999895355
136,3,147.5525590953549
137,3,144.2139334953549
138,3,109.1583646953549
139,3,46.54703129070347
140,3,31.97645770707982
141,3,29.75070730707982
142,3,29.75070730707982
143,3,13.57707744
144,3,13.57707744
145,1,0.0
146,1,0.0
147,1,0.0
148,1,0.0
149,1,0.0
150,1,0.0
151,1,14.57057358362366
152,1,14.57057358362366
153,1,14.57057358362366
154,1,14.57057358362366
155,1,14.57057358362366
156,1,14.57057358362366
157,1,14.57057358362366
158,1,14.57057358362366
159,1,14.57057358362366
160,1,14.57057358362366
161,1,14.57057358362366
162,1,14.57057358362366
163,1,14.57057358362366
164,1,0.0
165,1,0.0
166,1,0.0
167,1,0.0
168,1,0.0
169,3,10.23845184
170,3,13.57707744
171,3,13.57707744
172,3,13.57707744
173,3,13.57707744
174,3,13.57707744
175,3,44.32128089070348
176,3,109.1583646953549
177,3,129.1901182953549
178,3,147.5525590953549
179,3,165.914999895355
180,3,147.5525590953549
181,3,98.30783149535496
182,3,129.1901182953549
183,3,165.914999895355
184,3,147.5525590953549
185,3,144.2139334953549
186,3,109.1583646953549
187,3,46.54703129070347
188,3,31.97645770707982
189,3,29.75070730707982
190,3,29.75070730707982
191,3,13.57707744
192,3,13.57707744
193,1,0.0
194,1,0.0
195,1,0.0
196,1,0.0
197,1,0.0
198,1,0.0
199,1,14.57057358362366
200,1,14.57057358362366
201,1,14.57057358362366
202,1,14.57057358362366
203,1,14.57057358362366
204,1,14.57057358362366
205,1,14.57057358362366
206,1,14.57057358362366
207,1,14.57057358362366
208,1,14.57057358362366
209,1,14.57057358362366
210,1,14.57057358362366
211,1,14.57057358362366
212,1,0.0
213,1,0.0
214,1,0.0
215,1,0.0
216,1,0.0
217,3,10.23845184
218,3,13.57707744
219,3,13.57707744
220,3,13.57707744
221,3,13.57707744
222,3,13.57707744
223,3,44.32128089070348
224,3,109.1583646953549
225,3,129.1901182953549
226,3,147.5525590953549
227,3,165.914999895355
228,3,147.5525590953549
229,3,98.30783149535496
230,3,129.1901182953549
231,3,165.914999895355
232,3,147.5525590953549
233,3,144.2139334953549
234,3,109.1583646953549
235,3,46.54703129070347
236,3,31.97645770707982
237,3,29.75070730707982
238,3,29.75070730707982
239,3,13.57707744
240,3,13.57707744
241,1,0.0
242,1,0.0
243,1,0.0
244,1,0.0
245,1,0.0
246,1,0.0
247,1,14.57057358362366
248,1,14.57057358362366
249,1,14.57057358362366
250,1,14.57057358362366
251,1,14.57057358362366
252,1,14.57057358362366
253,1,14.57057358362366
254,1,14.57057358362366
255,1,14.57057358362366
256,1,14.57057358362366
257,1,14.57057358362366
258,1,14.57057358362366
259,1,14.57057358362366
260,1,0.0
261,1,0.0
262,1,0.0
263,1,0.0
264,1,0.0
265,3,10.23845184
266,3,13.57707744
267,3,13.57707744
268,3,13.57707744
269,3,13.57707744
270,3,13.57707744
271,3,44.32128089070348
272,3,109.1583646953549
273,3,129.1901182953549
274,3,147.5525590953549
275,3,165.914999895355
276,3,147.5525590953549
277,3,98.30783149535496
278,3,129.1901182953549
279,3,165.914999895355
280,3,147.5525590953549
281,3,144.2139334953549
282,3,109.1583646953549
283,3,46.54703129070347
284,3,31.97645770707982
285,3,29.75070730707982
286,3,29.75070730707982
287,3,13.57707744
288,3,13.57707744
289,3,10.23845184
290,3,13.57707744
291,3,13.57707744
292,3,13.57707744
293,3,13.57707744
294,3,13.57707744
295,3,44.32128089070348
296,3,109.1583646953549
297,3,129.1901182953549
298,3,147.5525590953549
299,3,165.914999895355
300,3,147.5525590953549
301,3,98.30783149535496
302,3,129.1901182953549
303,3,165.914999895355
304,3,147.5525590953549
305,3,144.2139334953549
306,3,109.1583646953549
307,3,46.54703129070347
308,3,31.97645770707982
309,3,29.75070730707982
310,3,29.75070730707982
311,3,13.57707744
312,3,13.57707744
313,3,10.23845184
314,3,13.57707744
315,3,13.57707744
316,3,13.57707744
317,3,13.57707744
318,3,13.57707744
319,3,44.32128089070348
320,3,109.1583646953549
321,3,129.1901182953549
322,3,147.5525590953549
323,3,165.914999895355
324,3,147.5525590953549
325,3,98.30783149535496
326,3,129.1901182953549
327,3,165.914999895355
328,3,147.5525590953549
329,3,144.2139334953549
330,3,109.1583646953549
331,3,46.54703129070347
332,3,31.97645770707982
333,3,29.75070730707982
334,3,29.75070730707982
335,3,13.57707744
336,3,13.57707744
337,3,10.23845184
338,3,13.57707744
339,3,13.57707744
340,3,13.57707744
341,3,13.57707744
342,3,13.57707744
343,3,44.32128089070348
344,3,109.1583646953549
345,3,129.1901182953549
346,3,147.5525590953549
347,3,165.914999895355
348,3,147.5525590953549
349,3,98.30783149535496
350,3,129.1901182953549
351,3,165.914999895355
352,3,147.5525590953549
353,3,144.2139334953549
354,3,109.1583646953549
355,3,46.54703129070347
356,3,31.97645770707982
357,3,29.75070730707982
358,3,29.75070730707982
359,3,13.57707744
360,3,13.57707744
361,3,10.23845184
362,3,13.57707744
363,3,13.57707744
364,3,13.57707744
365,3,13.57707744
366,3,13.57707744
367,3,44.32128089070348
368,3,109.1583646953549
369,3,129.1901182953549
370,3,147.5525590953549
371,3,165.914999895355
372,3,147.5525590953549
373,3,98.30783149535496
374,3,129.1901182953549
375,3,165.914999895355
376,3,147.5525590953549
377,3,144.2139334953549
378,3,109.1583646953549
379,3,46.54703129070347
380,3,31.97645770707982
381,3,29.75070730707982
382,3,29.75070730707982
383,3,13.57707744
384,3,13.57707744
385,2,0.5564376000000002
386,2,0.5564376000000002
387,2,0.5564376000000002
388,2,0.5564376000000002
389,2,0.5564376000000002
390,2,0.5564376000000002
391,2,31.30064105070348
392,2,33.52639145070348
393,2,33.52639145070348
394,2,33.52639145070348
395,2,33.52639145070348
396,2,33.52639145070348
397,2,33.52639145070348
398,2,33.52639145070348
399,2,33.52639145070348
400,2,33.52639145070348
401,2,33.52639145070348
402,2,33.52639145070348
403,2,33.52639145070348
404,2,18.95581786707982
405,2,16.73006746707982
406,2,16.73006746707982
407,2,0.5564376000000002
408,2,0.5564376000000002
409,2,0.5564376000000002
410,2,0.5564376000000002
411,2,0.5564376000000002
412,2,0.5564376000000002
413,2,0.5564376000000002
414,2,0.5564376000000002
415,2,31.30064105070348
416,2,33.52639145070348
417,2,33.52639145070348
418,2,33.52639145070348
419,2,33.52639145070348
420,2,33.52639145070348
421,2,33.52639145070348
422,2,33.52639145070348
423,2,33.52639145070348
424,2,33.52639145070348
425,2,33.52639145070348
426,2,33.52639145070348
427,2,33.52639145070348
428,2,18.95581786707982
429,2,16.73006746707982
430,2,16.73006746707982
431,2,0.5564376000000002
432,2,0.5564376000000002
433,2,0.5564376000000002
434,2,0.5564376000000002
435,2,0.5564376000000002
436,2,0.5564376000000002
437,2,0.5564376000000002
438,2,0.5564376000000002
439,2,31.30064105070348
440,2,33.52639145070348
441,2,33.52639145070348
442,2,33.52639145070348
443,2,33.52639145070348
444,2,33.52639145070348
445,2,33.52639145070348
446,2,33.52639145070348
447,2,33.52639145070348
448,2,33.52639145070348
449,2,33.52639145070348
450,2,33.52639145070348
451,2,33.52639145070348
452,2,18.95581786707982
453,2,16.73006746707982
454,2,16.73006746707982
455,2,0.5564376000000002
456,2,0.5564376000000002
457,3,10.23845184
458,3,13.57707744
459,3,13.57707744
460,3,13.57707744
461,3,13.57707744
462,3,13.57707744
463,3,44.32128089070348
464,3,109.1583646953549
465,3,129.1901182953549
466,3,147.5525590953549
467,3,165.914999895355
468,3,147.5525590953549
469,3,98.30783149535496
470,3,129.1901182953549
471,3,165.914999895355
472,3,147.5525590953549
473,3,144.2139334953549
474,3,109.1583646953549
475,3,46.54703129070347
476,3,31.97645770707982
477,3,29.75070730707982
478,3,29.75070730707982
479,3,13.57707744
480,3,13.57707744
481,4,10.23845184
482,4,13.57707744
483,4,13.57707744
484,4,13.57707744
485,4,13.57707744
486,4,13.57707744
487,4,44.32128089070348
488,4,109.1583646953549
489,4,129.1901182953549
490,4,147.5525590953549
491,4,165.914999895355
492,4,147.5525590953549
493,4,98.30783149535496
494,4,129.1901182953549
495,4,165.914999895355
496,4,147.5525590953549
497,4,144.2139334953549
498,4,109.1583646953549
499,4,46.54703129070347
500,4,31.97645770707982
501,4,29.75070730707982
502,4,29.75070730707982
503,4,13.57707744
504,4,13.57707744
505,4,10.23845184
506,4,13.57707744
507,4,13.57707744
508,4,13.57707744
509,4,13.57707744
510,4,13.57707744
511,4,44.32128089070348
512,4,109.1583646953549
513,4,129.1901182953549
514,4,147.5525590953549
515,4,165.914999895355
516,4,147.5525590953549
517,4,98.30783149535496
518,4,129.1901182953549
519,4,165.914999895355
520,4,147.5525590953549
521,4,144.2139334953549
522,4,109.1583646953549
523,4,46.54703129070347
524,4,31.97645770707982
525,4,29.75070730707982
526,4,29.75070730707982
527,4,13.57707744
528,4,13.57707744
529,3,10.23845184
530,3,13.57707744
531,3,13.57707744
532,3,13.57707744
533,3,13.57707744
534,3,13.57707744
535,3,44.32128089070348
536,3,109.1583646953549
537,3,129.1901182953549
538,3,147.5525590953549
539,3,165.914999895355
540,3,147.5525590953549
541,3,98.30783149535496
542,3,129.1901182953549
543,3,165.914999895355
544,3,147.5525590953549
545,3,144.2139334953549
546,3,109.1583646953549
547,3,46.54703129070347
548,3,31.97645770707982
549,3,29.75070730707982
550,3,29.75070730707982
551,3,13.57707744
552,3,13.57707744
553,3,10.23845184
554,3,13.57707744
555,3,13.57707744
556,3,13.57707744
557,3,13.57707744
558,3,13.57707744
559,3,44.32128089070348
560,3,109.1583646953549
561,3,129.1901182953549
562,3,147.5525590953549
563,3,165.914999895355
564,3,147.5525590953549
565,3,98.30783149535496
566,3,129.1901182953549
567,3,165.914999895355
568,3,147.5525590953549
569,3,144.2139334953549
570,3,109.1583646953549
571,3,46.54703129070347
572,3,31.97645770707982
573,3,29.75070730707982
574,3,29.75070730707982
575,3,13.57707744
576,3,13.57707744
577,3,10.23845184
578,3,13.57707744
579,3,13.57707744
580,3,13.57707744
581,3,13.57707744
582,3,13.57707744
583,3,44.32128089070348
584,3,109.1583646953549
585,3,129.1901182953549
586,3,147.5525590953549
587,3,165.914999895355
588,3,147.5525590953549
589,3,98.30783149535496
590,3,129.1901182953549
591,3,165.914999895355
592,3,147.5525590953549
593,3,144.2139334953549
594,3,109.1583646953549
595,3,46.54703129070347
596,3,31.97645770707982
597,3,29.75070730707982
598,3,29.75070730707982
599,3,13.57707744
600,3,13.57707744
601,3,10.23845184
602,3,13.57707744
603,3,13.57707744
604,3,13.57707744
605,3,13.57707744
606,3,13.57707744
607,3,44.32128089070348
608,3,109.1583646953549
609,3,129.1901182953549
610,3,147.5525590953549
611,3,165.914999895355
612,3,147.5525590953549
613,3,98.30783149535496
614,3,129.1901182953549
615,3,165.914999895355
616,3,147.5525590953549
617,3,144.2139334953549
618,3,109.1583646953549
619,3,46.54703129070347
620,3,31.97645770707982
621,3,29.75070730707982
