Hour,gwp
1,164.798
2,143.957
3,139.208
4,136.77
5,130.657
6,132.947
7,133.381
8,135.47799999999998
9,135.471
10,135.768
11,134.91299999999998
12,128.474
13,130.101
14,126.606
15,131.886
16,140.452
17,145.761
18,144.596
19,140.938
20,149.045
21,136.003
22,124.716
23,130.29
24,124.24
25,120.684
26,124.052
27,125.594
28,123.815
29,125.537
30,132.452
31,139.168
32,156.274
33,175.59400000000002
34,177.975
35,186.824
36,183.782
37,172.396
38,175.649
39,195.687
40,210.153
41,233.513
42,241.857
43,275.615
44,284.36400000000003
45,282.993
46,265.851
47,283.156
48,275.29200000000003
49,277.524
50,272.245
51,278.553
52,259.086
53,244.973
54,270.85900000000004
55,288.486
56,260.374
57,298.61
58,289.282
59,293.3
60,286.974
61,269.159
62,266.321
63,287.346
64,292.22900000000004
65,288.75
66,269.56
67,276.48
68,296.515
69,324.637
70,350.028
71,347.089
72,326.916
73,325.947
74,332.295
75,333.94
76,330.969
77,307.36
78,302.52
79,259.619
80,263.677
81,269.586
82,276.836
83,261.099
84,238.74
85,199.091
86,215.102
87,227.479
88,249.579
89,244.465
90,261.051
91,243.401
92,253.401
93,255.319
94,240.558
95,221.372
96,192.996
97,185.006
98,166.093
99,171.455
100,170.387
101,167.954
102,176.488
103,180.538
104,182.322
105,190.658
106,217.942
107,253.362
108,224.211
109,214.655
110,227.225
111,240.295
112,253.798
113,261.961
114,263.968
115,248.671
116,266.599
117,281.045
118,263.75
119,262.326
120,257.519
121,278.215
122,300.687
123,306.163
124,297.034
125,268.97900000000004
126,283.457
127,297.935
128,319.079
129,317.492
130,311.472
131,306.055
132,319.251
133,325.303
134,328.879
135,340.526
136,351.117
137,333.27
138,338.43800000000005
139,330.389
140,334.62300000000005
141,346.18699999999995
142,354.157
143,341.684
144,334.288
145,308.952
146,323.7
147,326.758
148,304.47700000000003
149,317.007
150,335.082
151,302.422
152,284.464
153,254.989
154,250.965
155,237.961
156,249.881
157,234.89
158,241.465
159,266.947
160,255.545
161,244.01
162,231.583
163,238.746
164,229.319
165,210.704
166,203.084
167,186.739
168,168.52700000000002
169,146.395
170,143.222
171,143.644
172,142.737
173,143.71
174,153.653
175,173.021
176,211.258
177,217.201
178,214.073
179,206.024
180,197.566
181,216.478
182,230.482
183,215.446
184,201.064
185,202.275
186,231.068
187,233.163
188,232.229
189,201.473
190,176.979
191,176.898
192,157.51
193,145.792
194,143.947
195,148.028
196,148.804
197,151.776
198,183.482
199,213.605
200,250.379
201,235.521
202,234.508
203,229.36900000000003
204,239.123
205,235.051
206,231.538
207,240.375
208,238.741
209,242.849
210,222.051
211,240.903
212,231.719
213,259.251
214,277.193
215,267.131
216,264.934
217,252.095
218,287.397
219,278.219
220,300.61400000000003
221,305.717
222,316.91700000000003
223,311.998
224,230.729
225,224.823
226,227.433
227,219.444
228,215.929
229,211.75
230,207.815
231,204.881
232,204.734
233,216.631
234,222.015
235,224.446
236,224.72
237,249.539
238,315.953
239,345.909
240,346.24800000000005
241,332.351
242,330.56
243,316.975
244,307.495
245,304.208
246,315.407
247,331.476
248,282.186
249,264.53
250,264.851
251,254.065
252,243.991
253,222.47
254,220.14
255,230.988
256,234.47
257,246.855
258,245.663
259,240.624
260,241.258
261,246.094
262,262.173
263,250.771
264,255.479
265,258.232
266,260.625
267,255.217
268,254.283
269,252.49
270,249.215
271,252.633
272,249.241
273,249.563
274,241.164
275,229.822
276,212.923
277,192.755
278,180.523
279,187.364
280,189.79
281,194.074
282,196.218
283,191.101
284,182.983
285,171.798
286,167.68400000000003
287,162.785
288,161.241
289,150.873
290,145.914
291,149.958
292,152.191
293,147.42600000000002
294,147.526
295,147.965
296,145.888
297,143.334
298,141.41899999999998
299,135.136
300,141.629
301,139.882
302,123.387
303,120.857
304,121.323
305,123.235
306,127.409
307,121.795
308,118.555
309,108.677
310,114.857
311,116.216
312,115.215
313,109.438
314,111.817
315,114.999
316,118.229
317,122.749
318,138.576
319,152.237
320,186.322
321,189.295
322,188.719
323,173.22400000000002
324,161.678
325,161.369
326,163.726
327,168.979
328,186.30900000000003
329,194.455
330,198.293
331,197.423
332,196.306
333,186.902
334,217.061
335,219.983
336,203.776
337,199.378
338,192.7
339,196.644
340,192.754
341,190.874
342,216.016
343,233.961
344,231.44
345,226.372
346,225.674
347,224.533
348,217.028
349,205.818
350,209.30900000000003
351,201.178
352,200.389
353,217.847
354,201.458
355,198.489
356,194.782
357,196.003
358,189.54
359,182.159
360,182.912
361,166.196
362,175.36700000000002
363,182.156
364,186.892
365,185.645
366,201.792
367,230.154
368,216.571
369,222.677
370,218.195
371,216.126
372,203.951
373,162.499
374,178.96099999999998
375,204.739
376,228.367
377,237.864
378,215.485
379,210.187
380,208.625
381,202.151
382,205.439
383,204.882
384,189.825
385,169.57
386,165.937
387,169.22299999999998
388,172.21200000000002
389,169.315
390,191.347
391,223.287
392,220.08900000000003
393,223.085
394,218.284
395,204.397
396,211.427
397,215.927
398,222.173
399,238.852
400,246.958
401,242.468
402,219.147
403,219.598
404,206.874
405,205.68
406,228.576
407,218.083
408,228.493
409,246.157
410,255.889
411,269.308
412,294.414
413,324.733
414,330.079
415,270.224
416,257.755
417,267.008
418,267.028
419,258.034
420,255.021
421,255.192
422,244.335
423,255.924
424,266.28700000000003
425,251.015
426,217.645
427,243.894
428,240.891
429,251.683
430,319.393
431,328.754
432,321.56
433,311.538
434,353.727
435,383.253
436,359.543
437,371.299
438,356.855
439,342.88
440,340.279
441,322.16
442,288.27
443,304.866
444,290.848
445,263.64
446,265.122
447,276.223
448,295.958
449,313.925
450,284.706
451,268.94
452,277.772
453,313.469
454,326.599
455,284.519
456,270.943
457,304.039
458,313.445
459,324.982
460,336.31199999999995
461,340.82199999999995
462,343.26800000000003
463,358.00199999999995
464,363.198
465,365.008
466,333.38699999999994
467,302.59
468,292.05400000000003
469,282.97900000000004
470,291.035
471,338.884
472,331.17900000000003
473,297.038
474,290.215
475,233.957
476,243.238
477,285.027
478,320.253
479,335.281
480,315.28700000000003
481,358.436
482,365.408
483,366.48800000000006
484,353.666
485,354.921
486,349.265
487,283.829
488,219.854
489,230.756
490,227.993
491,230.412
492,201.052
493,199.075
494,212.829
495,231.427
496,221.081
497,194.225
498,227.67
499,233.318
500,228.746
501,193.197
502,230.932
503,258.621
504,280.432
505,318.623
506,342.196
507,316.861
508,309.91900000000004
509,300.545
510,302.67900000000003
511,303.701
512,259.67
513,247.011
514,257.153
515,236.866
516,222.593
517,201.717
518,201.117
519,216.452
520,236.263
521,236.696
522,225.374
523,225.833
524,210.766
525,210.0
526,248.705
527,274.244
528,297.291
529,308.472
530,320.935
531,325.818
532,305.28700000000003
533,297.58
534,313.118
535,260.463
536,252.333
537,265.566
538,241.772
