HourOfYear,PeriodOfYear,House_Q_heating
1,1,640.64568595416
2,1,0.0
3,1,411.61904
4,1,640.64568595416
5,1,640.64568595416
6,1,380.59088154492
7,1,0.0
8,1,596.82590604234
9,1,0.0
10,1,526.60302081397
11,1,486.5353035864
12,1,0.0
13,1,32.36535216437
14,1,0.0
15,1,0.0
16,1,0.0
17,1,284.92932428654
18,1,0.0
19,1,111.78855769537
20,1,507.14474589564
21,1,522.51316189564
22,1,0.0
23,1,125.15367246245
24,1,322.90804
25,1,640.64568595416
26,1,0.0
27,1,411.61904
28,1,640.64568595416
29,1,640.64568595416
30,1,380.59088154492
31,1,0.0
32,1,596.82590604234
33,1,0.0
34,1,526.60302081397
35,1,486.5353035864
36,1,0.0
37,1,32.36535216437
38,1,0.0
39,1,0.0
40,1,0.0
41,1,284.92932428654
42,1,0.0
43,1,111.78855769537
44,1,507.14474589564
45,1,522.51316189564
46,1,0.0
47,1,125.15367246245
48,1,322.90804
49,1,640.64568595416
50,1,0.0
51,1,411.61904
52,1,640.64568595416
53,1,640.64568595416
54,1,380.59088154492
55,1,0.0
56,1,596.82590604234
57,1,0.0
58,1,526.60302081397
59,1,486.5353035864
60,1,0.0
61,1,32.36535216437
62,1,0.0
63,1,0.0
64,1,0.0
65,1,284.92932428654
66,1,0.0
67,1,111.78855769537
68,1,507.14474589564
69,1,522.51316189564
70,1,0.0
71,1,125.15367246245
72,1,322.90804
73,1,640.64568595416
74,1,0.0
75,1,411.61904
76,1,640.64568595416
77,1,640.64568595416
78,1,380.59088154492
79,1,0.0
80,1,596.82590604234
81,1,0.0
82,1,526.60302081397
83,1,486.5353035864
84,1,0.0
85,1,32.36535216437
86,1,0.0
87,1,0.0
88,1,0.0
89,1,284.92932428654
90,1,0.0
91,1,111.78855769537
92,1,507.14474589564
93,1,522.51316189564
94,1,0.0
95,1,125.15367246245
96,1,322.90804
97,1,640.64568595416
98,1,0.0
99,1,411.61904
100,1,640.64568595416
101,1,640.64568595416
102,1,380.59088154492
103,1,0.0
104,1,596.82590604234
105,1,0.0
106,1,526.60302081397
107,1,486.5353035864
108,1,0.0
109,1,32.36535216437
110,1,0.0
111,1,0.0
112,1,0.0
113,1,284.92932428654
114,1,0.0
115,1,111.78855769537
116,1,507.14474589564
117,1,522.51316189564
118,1,0.0
119,1,125.15367246245
120,1,322.90804
121,1,640.64568595416
122,1,0.0
123,1,411.61904
124,1,640.64568595416
125,1,640.64568595416
126,1,380.59088154492
127,1,0.0
128,1,596.82590604234
129,1,0.0
130,1,526.60302081397
131,1,486.5353035864
132,1,0.0
133,1,32.36535216437
134,1,0.0
135,1,0.0
136,1,0.0
137,1,284.92932428654
138,1,0.0
139,1,111.78855769537
140,1,507.14474589564
141,1,522.51316189564
142,1,0.0
143,1,125.15367246245
144,1,322.90804
145,1,640.64568595416
146,1,0.0
147,1,411.61904
148,1,640.64568595416
149,1,640.64568595416
150,1,380.59088154492
151,1,0.0
152,1,596.82590604234
153,1,0.0
154,1,526.60302081397
155,1,486.5353035864
156,1,0.0
157,1,32.36535216437
158,1,0.0
159,1,0.0
160,1,0.0
161,1,284.92932428654
162,1,0.0
163,1,111.78855769537
164,1,507.14474589564
165,1,522.51316189564
166,1,0.0
167,1,125.15367246245
168,1,322.90804
169,2,593.831444
170,2,615.122084
171,2,636.412724
172,2,635.72796781021
173,2,0.0
174,2,0.0
175,2,630.70854673703
176,2,0.0
177,2,330.7614288829
178,2,538.48152496127
179,2,5.47198672363
180,2,212.45375527741
181,2,326.7958137481
182,2,0.0
183,2,0.0
184,2,0.0
185,2,6.09963291083
186,2,78.15334849008
187,2,237.12906754196
188,2,595.71049067528
189,2,625.41792189564
190,2,640.63543452559
191,2,640.63543452559
192,2,0.0
193,2,593.831444
194,2,615.122084
195,2,636.412724
196,2,635.72796781021
197,2,0.0
198,2,0.0
199,2,630.70854673703
200,2,0.0
201,2,330.7614288829
202,2,538.48152496127
203,2,5.47198672363
204,2,212.45375527741
205,2,326.7958137481
206,2,0.0
207,2,0.0
208,2,0.0
209,2,6.09963291083
210,2,78.15334849008
211,2,237.12906754196
