egid,period,class,area_era_m2,x,y,z,transformer,energy_heating_signature_kWh_y,energy_cooling_signature_kWh_y,id_building,roof_annual_irr_kWh_y,facade_annual_irr_kWh_y,energy_hotwater_signature_kWh_y,area_roof_solar_m2,capita_cap,status,source_heating,source_hotwater,id_class,thermal_specific_capacity_Wh_m2_K,energy_el_kWh_y,thermal_transmittance_signature_kW_m2_K,count_floor,height_m,temperature_interior_C,area_facade_m2,ratio,temperature_cooling_supply_C,temperature_cooling_return_C,temperature_heating_supply_C,temperature_heating_return_C
280001550,1981-1990,Education,17480,2534448.838,1152845.505,389.35,3216,418491,45908.23501,1897254,9568311,4309893,41216.48385,8033.161582,6058.268907,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat,Gas,IV,112.9,1603596,0.00203,3,14.03,20,8697.8,1,12,17,65,50
9020492,<1919,Education,11901,2534280.878,1152811.224,384.95,3216,477008,0,1897287,519570,311758,0,518.2929718,144.8346678,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other,None,IV,112.9,943653,0.00121,2,11.4,20,656.7354279,1,12,17,65,50
9020493,<1919,Education,10442,2534298.655,1152880.348,384.34,3216,457861,0,1900046,588104,289258,1038.265217,528.8044817,152.6110258,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat,District heat,IV,112.9,691031,0.00121,2,10.09,20,718.4,1,12,17,65,50
280060429,>2010,Education,10267,2534264.16,1152899.708,385.2252012,3216,509183,3682.274342,1902174,1177107,504823,3938.249404,1008.486164,354.6165232,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat,District heat,VII,114.55,350860,0.00093,2,9.705201206,20,906.1525267,1,12,17,65,50
9020403,1961-1970,Education,6095,2534445.723,1152693.712,401.0956351,3216,318209,0,1902694,19626230,4734352,81917.14167,17353.00035,12040.71832,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat,District heat,IV,112.9,2067675,0.00261,6,25.94587593,20,4506.530288,1,12,17,65,50
9020480,1981-1990,Education/Other,24073,2534057.09,1152724.668,394.3896705,3216,1260041,42501.48672,1902705,20042116,1927186,0,16631.5891,2855.331033,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat/Other,District heat/None,IV,111.579958,1889430,0.001884604,2,8.98728149,20,14970.2,0.808689559,12,17,65,50
9020422,>2010,Education,26586,2534076.616,1153165.358,412.6,3216,1465755,249684.0409,1902706,18485040,9878408,63899.60292,14090.60706,9392.382401,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Not determined,Gas,IV,112.9,1978120,0.00093,5.545454545,23.91,20,7349.595577,1,12,17,65,50
190097749,<1919,Education,16655,2534301.537,1152688.964,383.56,3216,1003313,0,1902714,140660,127886,0,129.5012541,43.25599139,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other,None,IV,112.9,1200598,0.00121,2,9.53,20,242.302982,1,12,17,65,50
9020488,1981-1990,Education,4092,2534206.746,1152713.034,391.38,3216,253199,4887.302676,1902716,2032978,719104,0,1565.033342,644.9516919,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other,None,IV,112.9,81410,0.00203,2,10.59,20,1833.7,1,12,17,65,50
280000296,2001-2005,Education,14018,2533777.949,1152648.511,402.7127563,10469,889271,27633.86581,705789,18538414,5718696,0,14389.05066,11733.06616,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other,None,IV,112.9,5531370,0.00248747,3,12.8427563,20,33546.55476,0.211258854,12,17,65,50
280003083,1991-2000,Education,9997,2533079.595,1153018.305,396.37,10506,649081,859.9737565,705847,621207,206539,0,482.3874187,113.4862246,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other,None,IV,112.9,813804,0.00203,1,6.08,20,2787.4,1,12,17,65,50
280056171,2006-2010,Education,17151,2533158.692,1152266.283,401.61,10474,1126830,66654.50985,744065,20148902,2683729,25508.58922,15197.62119,3749.419614,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Not determined,Gas,IV,112.9,3118001,0.00093,1,7.63,20,2102.8,1,12,17,65,50
190094257,2001-2005,Education,18663,2532589.464,1152221.467,408.52,10473,1251411,7965.055438,753931,2496802,1064051,4860.668372,1910.549927,714.4528916,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Gas,Gas,IV,112.9,1354652,0.00203,2,10.52,20,1216.52096,1,12,17,65,50
280073608,2006-2010,Education,18389,2532680.942,1152184.213,410.78,10473,1306603,26317.92559,753995,2041117,1352918,10071.83392,1535.829453,1480.424155,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat,Gas,IV,112.9,1231934,0.00093,4,17.45,20,2523.7,1,12,17,65,50
190094377,1991-2000,Education,4496,2532723.635,1152209.492,412.39,10473,345679,5841.040655,753998,681516,936308,3564.49014,525.297629,523.9321205,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat,District heat,IV,112.9,413651,0.00203,4,19.24,20,625,1,12,17,65,50
9020482,1991-2000,Education,22127,2532774.664,1152209.463,412.63,10473,1728630,7396.122907,754050,709476,944624,4513.477774,533.4409237,663.4205422,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat,District heat,IV,112.9,1447090,0.00203,5,21.08,20,604.3275558,0.5,12,17,65,50
9020486,1991-2000,Education,692,2533521.418,1152386.95,415.63,10478,64607,53181.64566,754243,4850357,4572586,0,4252.242117,4770.309613,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other,None,IV,112.9,94326,0.00203,5,22.94,20,10030.57391,1,12,17,65,50
796959,1991-2000,Education/Commercial,10831,2533652.149,1152397.357,416.38,10478,928960,823669.0335,754389,4176281,1577562,0,3445.661476,4867.358341,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat/Other,Electricity/None,IV,109.4833062,1608750,0.001026083,5.374512354,24.77,20,1493.755023,1,12,17,65,50
280002239,1981-1990,Education,25868,2533878.783,1152538.421,402.647746,10469,2600901,45769.26754,754534,6817313,685212,0,5793.750398,4105.431003,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other/District heat,None/District heat,IV,112.9,2832408,0.00203,2,8.380707277,20,3117.1,1,12,17,65,50
280078313,>2010,Education/Residential,19697,2532982.923,1152780.07,410.9795275,10503,2121607,69666.63378,758636,21788287,4488199,515962.0186,19187.82607,9641.537965,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Not determined/District heat,Solar (thermal),IV,117.9895694,2411721,0.000861222,7.751118598,22.19783847,20,1739.999495,1,12,17,65,50
280063288,1991-2000,Education/Residential,28986,2532984.539,1152998.065,409.49,10506,3217870,3653.507351,758708,1887616,1242852,0,1624.9416,607.176778,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other/District heat,None/Gas,I,116.299564,4717985,0.001795706,4.240326975,16.75,20,4923435.576,0.026882249,12,17,65,50
9020449,1991-2000,Education/Residential,847,2533036.185,1153077.389,404.51,10506,105136,3071.597914,758732,1118583,1202061,6755.746647,841.6723438,433.8387573,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat,Gas,IV,114.5359354,-,0.001901642,3,14.11,20,2109.7,1,12,17,65,50
3163269,1991-2000,Residential,23581,2533057.853,1152914.087,405.23,10506,3036870,0,758745,535496,714199,14893.86622,403.5389738,113.9177969,"['existing', 'existing', 'existing']",District heat,Gas,I,120.3,4433829,0.00152,4,14.66,20,2399.702316,1,12,17,65,50
3163268,1991-2000,Residential,17674,2533057.538,1152949.801,405.17,10506,2768898,0,758746,537316,730676,14893.86622,402.483985,113.9177969,"['existing', 'existing', 'existing']",District heat,Gas,I,120.3,3898106,0.00152,4,14.6,20,1807.204772,1,12,17,65,50
