ResourceBalances,Period,Time,GWP_supply
Electricity,1,1,0.0642593341125
Electricity,1,2,0.06784295618
Electricity,1,3,0.061552359215000005
Electricity,1,4,0.0653578975425
Electricity,1,5,0.06559061067000001
Electricity,1,6,0.07185084111000001
Electricity,1,7,0.06858635063
Electricity,1,8,0.077330155695
Electricity,1,9,0.0775894015775
Electricity,1,10,0.06988620915749999
Electricity,1,11,0.0685068115175
Electricity,1,12,0.062101831175000004
Electricity,1,13,0.06066432911
Electricity,1,14,0.0605434833025
Electricity,1,15,0.0536474338175
Electricity,1,16,0.050932869070000004
Electricity,1,17,0.053325049230000005
Electricity,1,18,0.0655374769925
Electricity,1,19,0.0677376467575
Electricity,1,20,0.0668328137875
Electricity,1,21,0.064248644765
Electricity,1,22,0.06840248113749998
Electricity,1,23,0.06757051194000001
Electricity,1,24,0.06253588555999999
Electricity,2,1,0.16188133740000002
Electricity,2,2,0.096794989875
Electricity,2,3,0.126161644175
Electricity,2,4,0.074976230565
Electricity,2,5,0.0945238198975
Electricity,2,6,0.12395635672500001
Electricity,2,7,0.07349329428
Electricity,2,8,0.0784764542925
Electricity,2,9,0.08179107623
Electricity,2,10,0.0607191240825
Electricity,2,11,0.0417056351
Electricity,2,12,0.034469441074999996
Electricity,2,13,0.0465942676875
Electricity,2,14,0.0543072580825
Electricity,2,15,0.050899967355
Electricity,2,16,0.0397307444475
Electricity,2,17,0.054654117035
Electricity,2,18,0.0657684471425
Electricity,2,19,0.0687045808475
Electricity,2,20,0.09608464413750001
Electricity,2,21,0.18924360242500002
Electricity,2,22,0.17477574612500002
Electricity,2,23,0.222277006075
Electricity,2,24,0.210803848625
Electricity,3,1,0.0648635094075
Electricity,3,2,0.06367229871
Electricity,3,3,0.052101306127500004
Electricity,3,4,0.0499326291025
Electricity,3,5,0.052317332550000005
Electricity,3,6,0.0598530912975
Electricity,3,7,0.0668109496275
Electricity,3,8,0.07383559859000001
Electricity,3,9,0.070624497835
Electricity,3,10,0.0683449689325
Electricity,3,11,0.07042919229
Electricity,3,12,0.062038720384999996
Electricity,3,13,0.062012085849999996
Electricity,3,14,0.0560572233325
Electricity,3,15,0.0602128223675
Electricity,3,16,0.0650546557725
Electricity,3,17,0.06464639112500001
Electricity,3,18,0.06518768435
Electricity,3,19,0.0668212832775
