u,v,length,diameter
15000,3402256154,90.42130570699439,0.6
3402256154,75448000,34.23657966760419,0.5
3402256154,266880742,108.09875652282018,0.25
266880742,754045,64.95899556648074,0.15
266880742,75393100,23.23429349312438,0.2
75393100,5573828941,143.11301080532382,0.15
75393100,753931,16.438411107805468,0.09
5573828941,75863600,16.182022679986545,0.15
5573828941,754050,159.71730430525292,0.065
75863600,754137,94.20875785697135,0.1
75863600,758636,18.773759087797355,0.125
75448000,754480,24.29754194762821,0.1
75448000,75425800,98.77182961791438,0.5
75425800,418161362,165.02142361233368,0.5
75425800,754258,18.448156684927735,0.032
418161362,754082,82.98751524280304,0.08
418161362,418161366,7.602704949654034,0.5
418161366,75408800,154.78702416071346,0.125
418161366,75408600,138.65364576782713,0.5
75408600,754086,10.419990769980696,0.2
75408600,1271743087,106.87070046790024,0.45
1271743087,71977300,7.785072346240285,0.4
1271743087,75424300,114.18011413068231,0.25
75424300,754243,26.75533104839067,0.2
75424300,75399500,170.4687574630793,0.2
75399500,753995,22.067008353040197,0.15
75399500,75429800,111.61188234413466,0.09
75429800,754298,17.89089901883041,0.065
75429800,754450,46.00682183375342,0.065
71977300,4949820074,32.75445860335371,0.35
71977300,719773,18.42117437209507,0.15
4949820074,75444900,133.58207738901726,0.2
4949820074,75844900,129.75805821055354,0.3
75844900,758449,22.43214905654443,0.2
75844900,415963477,164.10468767102176,0.25
415963477,754389,62.33256033383751,0.15
415963477,70584600,155.78301510242073,0.2
70584600,753998,206.57134558492396,0.1
70584600,705846,34.042602070866515,0.15
75444900,754449,8.583132331377964,0.09
75444900,74406500,172.38671993570006,0.2
74406500,758450,88.20780430717592,0.125
74406500,744065,9.251176385752638,0.125
75408800,754088,7.31965433207489,0.09
75408800,753999,101.83765640657994,0.08
