Hour,Load_Profile
0,2569.307
1,2556.3633
2,3377.2932
3,3375.02
4,3116.557
5,3067.24
6,3078.3867
7,3070.3933
8,3066.8735
9,3219.15
10,3286.8367
11,3621.3098
12,3429.5068
13,2939.3098
14,3025.99
15,2829.5667
16,2450.1033
17,2248.9868
18,2063.82
19,2416.443
20,2529.8901
21,2425.3533
22,3350.6733
23,3486.4868
0,3383.6
1,2525.1235
2,2530.1833
3,2520.21
4,2514.4534
5,2497.22
6,2504.6633
7,2497.6235
8,2506.57
9,2510.2
10,2519.6235
11,2337.5366
12,2420.7334
13,2652.6133
14,2446.4
15,2451.02
16,2420.9167
17,2365.3298
18,2353.5234
19,2379.3735
20,2348.9766
21,2373.9834
22,2405.443
23,2411.1265
0,2438.26
1,2424.4
2,2318.6167
3,2190.1
4,2190.43
5,2175.7268
6,2175.8733
7,2195.5266
8,2220.2397
9,2178.55
10,2192.0798
11,2189.2932
12,2143.68
13,2258.0068
14,2352.9
15,2739.1467
16,2721.8765
17,2688.5466
18,2730.0535
19,2685.8333
20,2684.77
21,2737.9
22,2751.0266
23,2734.0867
0,2282.7932
1,2412.2266
2,2432.2466
3,2391.2166
4,2421.65
5,2440.46
6,2409.807
7,2411.1265
8,2436.1333
9,2677.4368
10,2512.0334
11,2792.6433
12,2788.7568
13,2604.03
14,2954.4534
15,2560.5798
16,2672.9634
17,2630.2466
18,2662.22
19,2632.52
20,2694.6702
21,2677.73
22,2563.5132
23,2565.4932
0,2515.26
1,2464.4033
2,2436.9033
3,2465.43
4,2524.7932
5,2530.6235
6,2469.1333
7,2226.4368
8,1912.6067
9,2098.2134
10,2104.19
11,1943.6633
12,1947.88
13,2019.5267
14,1967.9
15,1923.8267
16,1958.88
17,1930.7201
18,2007.4266
19,2070.53
20,2132.6433
21,2021.25
22,2011.35
23,2115.3733
0,2109.7268
1,2107.16
2,2025.7233
3,2033.9733
4,2042.1133
5,2044.6433
6,2032.6167
7,2033.7534
8,2053.8467
9,2206.5266
10,2333.32
11,2238.1333
12,2183.8667
13,2339.8098
14,2310.7334
15,2358.5833
16,2545.2534
17,2578.8765
18,2459.5266
19,2563.4033
20,2560.8367
21,2608.98
22,2479.73
23,2491.3901
0,2304.3167
1,2394.7734
2,2417.9465
3,2365.9534
4,2130.2966
5,2159.96
6,2143.46
7,2151.93
8,2229.15
9,2428.5432
10,2431.66
11,2212.76
12,2018.7933
13,2136.6768
14,2188.7068
15,2164.25
16,2039.1067
17,2055.57
18,2030.5267
19,2101.6965
20,2035.0734
21,2062.7566
22,2091.6135
23,2066.5334
0,2113.2466
1,2325.4734
2,3121.25
3,3239.7932
4,3261.3901
5,3241.26
6,3251.49
7,3269.8599
8,3266.193
9,3427.4534
10,3296.8098
11,3339.4534
12,3238.2166
13,3196.3433
14,2910.71
15,2814.24
16,2837.8901
17,2741.3098
18,2707.943
19,2602.1235
20,2622.1067
21,2618.1099
22,2589.62
23,2614.4067
0,2706.0366
1,2653.4568
2,2546.4634
3,2548.7734
4,2568.8667
5,2525.3433
6,2570.8098
7,2566.7034
8,2553.0266
9,2584.23
10,2933.37
11,2806.943
12,2617.8533
13,2601.3901
14,2609.53
15,2619.2466
16,2721.4
17,2555.96
18,2728.5132
19,2609.6401
20,2529.7432
21,2822.0867
22,3076.26
23,3374.3967
0,2079.11
1,1810.7101
2,1812.7267
3,1813.0934
4,1737.23
5,1711.9299
6,1710.3534
7,1711.27
8,3348.4
9,4012.9834
10,4039.1265
11,4034.3599
12,3993.6965
13,3877.6099
14,3840.6868
15,3424.7766
16,3287.3867
17,3411.0632
18,3430.1667
19,3385.25
20,3362.9932
21,3426.5366
22,3451.5798
23,3461.15
0,3459.3901
1,3448.9033
2,3364.7534
3,3353.68
4,3353.35
5,3350.5632
6,3351.8467
7,3359.1067
8,3342.3132
9,3362.8833
10,3352.5068
11,3483.0767
12,3385.47
13,3545.557
14,3610.1265
15,3591.2432
16,3519.1567
17,3371.4634
18,3369.1533
19,3358.63
20,3365.6702
21,3370.18
22,3377.9167
23,3391.63
0,3400.0266
1,3141.3433
2,3397.79
3,3400.1733
4,3399.88
5,3392.7666
6,3405.27
7,3373.6633
8,3369.3367
9,3363.7266
10,3369.8132
11,3366.1467
12,3365.5967
13,3421.88
14,3467.75
15,3411.0632
16,3403.7666
17,2983.8967
18,2589.1067
19,3371.1702
20,3381.0334
21,3364.68
22,3378.32
23,3374.0667
0,3466.6133
1,3542.1833
2,2993.2466
3,2953.5735
4,3134.4133
5,3137.0535
6,3133.68
7,3143.5798
8,3139.5833
9,3138.557
10,3164.37
11,3176.3967
12,3216.7666
13,3702.7466
14,3670.15
15,3704.1033
16,3698.9333
17,3697.4666
18,3697.32
19,3698.09
20,3680.1965
21,3691.5632
22,3697.5767
23,3698.8967
0,3389.76
1,2931.9766
2,2971.0266
3,2963.9133
4,2935.3867
5,2941.07
6,2925.01
7,2919.0334
8,2956.3967
9,2922.7368
10,2945.2134
11,2961.6033
12,2935.35
13,2318.5798
14,2447.5735
15,2283.307
16,2342.23
17,2259.9133
18,2444.75
19,2647.6265
20,2562.4133
21,2428.47
22,2619.8333
23,2670.25
0,2971.0632
1,2893.66
2,2443.6133
3,2052.3433
4,2018.4266
5,2224.6401
6,2288.6965
7,2067.4866
8,1838.65
9,1780.0566
10,1761.4667
11,1764.51
12,1845.9833
13,2298.7068
14,2277.1833
15,2312.3833
16,2307.7632
17,2310.5867
18,2327.16
19,2332.88
20,2354.99
21,2373.03
22,2403.6467
23,2237.95
0,2282.6833
1,2246.2368
2,2218.8098
3,2218.9932
4,2219.2866
5,2219.91
6,2179.32
7,2164.8
8,2275.7166
9,2286.2766
10,2288.8433
11,2279.4568
12,2291.63
13,2446.3267
14,2221.7068
15,2328.26
16,2332.4402
17,2202.0535
18,2202.09
19,2207.8467
20,2214.4834
21,2243.8533
22,2224.5667
23,2232.0833
0,2233.9534
1,2198.9368
2,2188.0833
3,2161.9033
4,2160.3633
5,2160.7666
6,2160.73
7,2160.62
8,2159.0798
9,2161.2434
10,2196.0034
11,2197.8
12,2192.52
13,2194.8298
14,2208.5068
15,2269.96
16,2244.0366
17,2263.3967
18,2211.2932
19,2271.8667
20,2290.4932
21,2294.0867
22,2295.04
23,2289.76
0,2295.5535
1,2261.27
2,2192.2632
3,2191.2368
4,2176.0933
5,2167.6233
6,2209.3867
7,2218.59
8,2168.1367
9,2301.8967
10,2084.3167
11,2021.58
12,2166.23
13,2234.943
14,2500.4465
15,2433.8967
16,2428.5798
17,2390.5933
18,2635.7466
19,2966.7734
20,2943.6367
21,2794.99
22,2847.3867
23,2925.7432
0,2957.46
1,2953.9033
2,2816.0735
3,2939.1265
4,2990.0933
5,2998.5632
6,2939.3098
7,2932.1965
8,2854.9402
9,2876.7568
10,2680.37
11,2069.3567
12,2692.03
13,2538.3235
14,2693.2766
15,2686.2734
16,2698.85
17,2407.79
18,2333.21
19,2689.3533
20,3090.34
21,3052.5735
22,3075.6733
23,3090.5967
