TimeInYear,Units_supply
1,
2,
3,
4,
5,
6,
7,
8,5.31687305622
9,115.25728153949001
10,283.41423979169997
11,363.51763678468
12,381.15758657013004
13,438.55243089222
14,349.52376713322997
15,238.76690591136
16,95.65035200936
17,10.37061188723
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,5.31687305622
33,115.25728153949001
34,283.41423979169997
35,363.51763678468
36,381.15758657013004
37,438.55243089222
38,349.52376713322997
39,238.76690591136
40,95.65035200936
41,10.37061188723
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,5.31687305622
57,115.25728153949001
58,283.41423979169997
59,363.51763678468
60,381.15758657013004
61,438.55243089222
62,349.52376713322997
63,238.76690591136
64,95.65035200936
65,10.37061188723
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,5.31687305622
81,115.25728153949001
82,283.41423979169997
83,363.51763678468
84,381.15758657013004
85,438.55243089222
86,349.52376713322997
87,238.76690591136
88,95.65035200936
89,10.37061188723
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,75.58083935236
106,269.90030971183
107,542.31084513275
108,503.59489975384
109,457.84065022535
110,240.11334234688
111,37.27404204113
112,21.41310930246
113,3.5863350618
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,75.58083935236
130,269.90030971183
131,542.31084513275
132,503.59489975384
133,457.84065022535
134,240.11334234688
135,37.27404204113
136,21.41310930246
137,3.5863350618
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,75.58083935236
154,269.90030971183
155,542.31084513275
156,503.59489975384
157,457.84065022535
158,240.11334234688
159,37.27404204113
160,21.41310930246
161,3.5863350618
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,75.58083935236
178,269.90030971183
179,542.31084513275
180,503.59489975384
181,457.84065022535
182,240.11334234688
183,37.27404204113
184,21.41310930246
185,3.5863350618
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,75.58083935236
202,269.90030971183
203,542.31084513275
204,503.59489975384
205,457.84065022535
206,240.11334234688
207,37.27404204113
208,21.41310930246
209,3.5863350618
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,75.58083935236
226,269.90030971183
227,542.31084513275
228,503.59489975384
229,457.84065022535
230,240.11334234688
231,37.27404204113
232,21.41310930246
233,3.5863350618
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,75.58083935236
250,269.90030971183
251,542.31084513275
252,503.59489975384
253,457.84065022535
254,240.11334234688
255,37.27404204113
256,21.41310930246
257,3.5863350618
258,
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,
269,
270,
271,
272,
273,5.31687305622
274,72.09339334927999
275,118.84820147127999
276,170.17476571043
277,195.42292149282
278,181.67348442872
279,149.07740610678
280,104.46281478974001
281,47.27940635728
282,
283,
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,
297,75.58083935236
298,269.90030971183
299,542.31084513275
300,503.59489975384
301,457.84065022535
302,240.11334234688
303,37.27404204113
304,21.41310930246
305,3.5863350618
306,
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,75.58083935236
322,269.90030971183
323,542.31084513275
324,503.59489975384
325,457.84065022535
326,240.11334234688
327,37.27404204113
328,21.41310930246
329,3.5863350618
330,
331,
