TimeInYear,Units_supply
1,
2,
3,
4,
5,
6,
7,
8,
9,54.02350794955
10,98.63337158393
11,166.17343592768
12,167.31058210397
13,171.98446213692
14,581.88133723115
15,350.14706470619
16,225.03977018975
17,6.82158150117
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,54.02350794955
34,98.63337158393
35,166.17343592768
36,167.31058210397
37,171.98446213692
38,581.88133723115
39,350.14706470619
40,225.03977018975
41,6.82158150117
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,3.5055764745399998
58,29.582001258680002
59,58.7177467904
60,72.14386874989
61,75.31159342731
62,63.28283896171
63,49.6238721749
64,32.57184924259
65,3.44359895406
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,8.90623991479
82,84.55446485848
83,144.79195957495
84,180.16228886063
85,189.89229920863
86,172.56662900169002
87,126.40707271853
88,67.9334427312
89,3.51121079458
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,8.90623991479
106,84.55446485848
107,144.79195957495
108,180.16228886063
109,189.89229920863
110,172.56662900169002
111,126.40707271853
112,67.9334427312
113,3.51121079458
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,128.75973922874
130,405.73878076929003
131,534.10262072581
132,579.2215070169
133,477.39630497895
134,502.28455347417
135,239.85367467964
136,170.54433778867002
137,51.15059479567
138,5.33095943724
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,8.90623991479
154,84.55446485848
155,144.79195957495
156,180.16228886063
157,189.89229920863
158,172.56662900169002
159,126.40707271853
160,67.9334427312
161,3.51121079458
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,8.90623991479
178,84.55446485848
179,144.79195957495
180,180.16228886063
181,189.89229920863
182,172.56662900169002
183,126.40707271853
184,67.9334427312
185,3.51121079458
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,128.75973922874
202,405.73878076929003
203,534.10262072581
204,579.2215070169
205,477.39630497895
206,502.28455347417
207,239.85367467964
208,170.54433778867002
209,51.15059479567
210,5.33095943724
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,128.75973922874
226,405.73878076929003
227,534.10262072581
228,579.2215070169
229,477.39630497895
230,502.28455347417
231,239.85367467964
232,170.54433778867002
233,51.15059479567
234,5.33095943724
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,128.75973922874
250,405.73878076929003
251,534.10262072581
252,579.2215070169
253,477.39630497895
254,502.28455347417
255,239.85367467964
256,170.54433778867002
257,51.15059479567
258,5.33095943724
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,
269,
270,
271,
272,14.53031818306
273,277.26408506961
274,538.2845077189
275,661.15253331921
276,737.60577550313
277,769.80797184151
278,842.3852723283001
279,715.6365188762301
280,612.5612621702
281,476.06848736473
282,192.01297017724
283,5.29433484656
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,
297,128.75973922874
298,405.73878076929003
299,534.10262072581
300,579.2215070169
301,477.39630497895
302,502.28455347417
303,239.85367467964
304,170.54433778867002
305,51.15059479567
306,5.33095943724
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,128.75973922874
322,405.73878076929003
323,534.10262072581
324,579.2215070169
325,477.39630497895
326,502.28455347417
327,239.85367467964
