,total_power
0,88337.44450000001
1,89133.577
2,90203.06030000001
3,88373.456
4,86946.7102
5,88114.09329999998
6,88431.7268
7,88378.0729
8,88476.9539
9,88445.0432
10,88791.09230000002
11,86209.3823
12,85440.87650000001
13,83590.44639999999
14,84858.7364
15,86587.67050000002
16,85904.99949999998
17,85584.92629999999
18,87220.2511
19,87362.57970000002
20,86835.04660000002
21,84865.4865
22,88910.54310000001
23,91736.24970000001
24,90810.8669
25,89710.8196
26,90267.2643
27,88832.41189999999
28,89242.04280000001
29,88723.0538
30,87386.0297
31,89379.5136
32,87425.9765
33,87032.60670000002
34,88572.559
35,88693.99029999999
36,87170.51710000003
37,87507.03310000002
38,85422.23000000001
39,83579.97680000002
40,83811.62670000002
41,83647.49640000002
42,82682.85980000002
43,81896.2409
44,81530.8839
45,80583.9936
46,82115.65999999999
47,82663.52360000001
48,83306.0429
49,84412.89009999999
50,85041.8964
51,85109.6101
52,85186.19690000001
53,86005.13770000002
54,85830.41010000001
55,85205.41679999999
56,83763.92980000001
57,84565.34329999998
58,84766.26699999999
59,84519.19680000002
60,84148.44989999998
61,83214.79709999998
62,81182.57289999998
63,86054.9767
64,85744.3996
65,84469.08789999998
66,85714.46050000002
67,85628.57739999998
68,85497.77639999999
69,85787.46999999999
70,86675.38080000003
71,86502.8173
72,85863.7259
73,84791.47399999997
74,84143.52550000002
75,84395.70939999998
76,84938.3672
77,84077.1672
78,82826.164
79,81301.2594
80,80128.94350000001
81,80551.6272
82,81707.67939999998
83,84681.44709999999
84,83094.6499
85,83492.87750000002
86,83505.88450000001
87,82203.14299999998
88,83372.4342
89,85187.38690000001
90,86771.5967
91,86364.32939999999
92,85227.58069999999
93,86142.47720000001
94,85456.4702
95,85476.33269999998
96,83258.19410000004
97,83545.87009999999
98,82772.7795
99,82495.05730000003
100,84042.81930000002
101,83406.0571
102,83838.45580000001
103,85064.91010000002
104,86435.09640000001
105,87874.17990000002
106,87873.84
107,87272.93719999999
108,87341.41990000001
109,87770.5556
110,87835.08020000001
111,87268.5693
112,85841.09150000002
113,85019.7469
114,85183.70960000002
115,85623.95710000001
116,86255.42110000002
117,85739.03419999998
118,86038.58940000003
119,87578.10329999997
120,89299.09930000002
121,88987.24019999999
122,89536.75229999998
123,87555.23939999999
124,87278.3237
125,86127.5292
126,85627.0939
127,85915.24660000001
128,85657.02989999998
129,86134.824
130,88115.0334
131,87977.96290000001
132,87515.3297
133,89527.69739999999
134,90216.4694
135,89882.64699999998
136,89338.57710000001
137,89978.54619999998
138,89652.42250000002
139,90046.13970000001
140,91381.20050000002
141,91249.41029999999
142,91291.97009999998
143,87602.2298
144,86761.94979999996
145,87716.77630000003
146,86302.12999999999
147,87293.4763
148,88435.1561
149,89211.82029999999
150,89060.00900000002
151,90907.04699999999
152,91605.42629999999
153,91224.4869
154,90577.5302
155,90771.19319999997
156,89108.13029999999
157,90139.66440000001
158,90906.3888
159,89475.61020000002
160,89400.6526
161,87551.06610000001
162,87418.3232
163,86368.1076
164,84785.4159
165,86132.35699999999
166,85619.52609999999
167,85912.85069999998
168,85405.32050000002
169,87237.58039999999
170,88432.83089999999
171,88434.9829
172,88211.0876
173,87743.5021
174,84828.01610000002
175,84605.66070000001
176,85209.54980000001
177,85890.69670000001
178,87258.46319999997
179,89697.7395
180,87961.27019999998
181,90091.66639999999
182,89583.75099999999
183,88387.0137
184,87545.02780000003
185,84476.6397
186,88567.82259999998
187,88812.5634
188,89247.9337
189,90726.32199999997
190,90445.88720000001
191,89728.6403
192,87698.6008
193,89944.71779999998
194,87611.1664
195,87359.1471
196,87053.961
197,86261.6932
198,85070.38339999999
199,84654.5733
200,85094.307
201,86068.1638
202,83531.70019999998
203,83273.15249999998
204,83646.44660000001
205,82069.84310000001
206,80177.9426
207,82401.65700000002
208,86809.01729999999
209,85869.5327
210,83886.2968
211,83607.43730000002
212,82228.3566
213,83037.947
214,84036.9929
215,84916.54269999996
216,84210.8668
217,84016.81619999999
218,84409.947
219,83549.62640000001
220,83332.7699
221,82644.8207
222,82820.774
223,82158.6733
224,84562.05369999999
225,87209.34099999999
226,89281.10740000001
227,87178.0434
228,86586.3806
229,85890.98640000002
230,84386.25039999999
231,81635.72700000001
232,81522.96649999997
233,82164.8803
234,82928.8933
235,80476.43339999998
236,79406.8565
237,81022.23349999999
238,81553.5235
239,83703.68239999999
240,84596.01390000002
241,85126.7524
242,84770.01420000002
243,83766.73000000001
244,82156.98030000001
245,81949.3259
246,80656.2677
247,79365.95590000002
248,78237.3829
249,78778.4639
250,78445.15409999999
251,77131.0092
252,77382.13059999999
253,77143.56749999998
254,75044.9037
255,76070.46
256,79938.67459999998
257,79404.98000000001
258,78978.2804
259,80094.03670000001
260,80335.6236
261,79483.51670000001
262,78167.174
263,78368.7206
264,77306.93669999999
265,76986.4232
266,76835.3466
267,76540.86709999999
268,76630.57970000002
269,76257.30389999998
270,74274.3967
271,73710.71040000003
272,73736.2205
273,74109.91669999999
274,75437.01919999998
275,75522.77350000001
276,76141.7337
277,76202.4806
278,76553.59079999998
279,76264.05979999999
280,74606.8626
281,73570.6536
282,72753.67330000001
283,74452.50329999998
284,74204.40689999999
285,74827.1806
286,74945.5307
287,77619.6566
288,77239.03080000004
289,77350.7072
290,76567.42349999999
291,76786.20290000002
292,76856.59249999997
293,76764.03700000003
294,75901.113
295,74302.6562
296,73887.65319999999
297,73318.90649999998
298,71978.21710000001
299,71483.243
300,73724.5565
301,79840.62
302,82353.11959999999
303,82028.28009999999
304,80787.69049999998
305,81102.64770000002
306,79295.52039999998
307,78681.37999999999
308,79915.56939999998
309,80570.2063
310,82435.20969999999
311,84019.7862
312,83388.36009999999
313,79224.59309999998
314,76992.35350000001
315,75939.24029999999
316,74616.2601
317,74589.88770000002
318,74168.7232
319,73744.62700000002
320,72282.9373
321,71360.86989999998
322,73528.51940000002
323,75246.67369999998
324,77670.7331
325,77353.66669999999
326,79317.63279999999
327,78483.38320000003
328,80352.60289999998
329,78878.9967
330,79543.46030000002
331,80110.20709999999
332,76178.2099
333,77597.89600000001
334,81051.9237
335,80583.38640000002
336,81796.03629999996
337,82809.0893
338,83593.0504
339,85197.97729999998
340,80265.71340000001
341,80274.2098
342,77402.9792
343,75557.2794
344,75212.2369
345,75764.68329999999
346,77385.6328
347,77073.73619999998
348,75346.61740000002
349,77640.1438
350,77977.57700000005
351,78923.23620000001
352,79961.33350000001
353,76950.477
354,76642.24710000002
355,76447.57290000001
356,74620.2072
357,76312.91380000001
358,78998.1505
359,80507.92660000002
