Hour,Load_Profile
0,1643.3267
1,1642.7034
2,1642.41
3,1641.9701
4,1664.41
5,1810.6
6,2636.8467
7,2897.4734
8,2833.05
9,1753.51
10,1766.38
11,1756.7733
12,1760.2933
13,1768.8
14,1723.0767
15,1800.3334
16,1644.6466
17,1658.7633
18,1642.52
19,1642.3733
20,1642.3367
21,1743.7566
22,1657.15
23,1643.7667
0,1643.51
1,1642.2267
2,1641.4199
3,1716.88
4,1698.6566
5,1946.5233
6,1879.7899
7,3030.4634
8,3453.8533
9,3528.8735
10,3350.8567
11,2497.1099
12,1642.9601
13,1643.4
14,1642.2267
15,1656.49
16,1667.4166
17,1658.2134
18,1681.7167
19,1643.3634
20,1643.4733
21,1643.7667
22,1643.3267
23,1642.5934
0,1642.52
1,1641.86
2,1640.5767
3,1639.0367
4,1639.0367
5,1638.34
6,1638.6333
7,1638.5233
8,1638.4133
9,1638.7067
10,1640.32
11,1641.3833
12,1642.9967
13,1642.8867
14,1643.0701
15,1642.9601
16,1643.62
17,1643.3634
18,1643.7667
19,1643.1433
20,1643.0333
21,1643.0333
22,1642.8867
23,1642.2634
0,1641.2366
1,1640.5033
2,1639.8066
3,1640.65
4,2050.8035
5,2153.9834
6,1873.7034
7,1644.17
8,1644.2799
9,1644.83
10,1646.2966
11,1646.81
12,1646.3699
13,1646.6267
14,1646.9567
15,1647.25
16,1646.9567
17,1645.6733
18,1644.61
19,1646.92
20,1643.0333
21,1643.3634
22,1643.2167
23,1643.6566
0,1644.0966
1,1643.9133
2,1643.9133
3,1747.6067
4,2533.1167
5,2455.1633
6,2588.3
7,2587.6765
8,2586.7234
9,2590.0234
10,2583.2766
11,2585.2568
12,2584.9265
13,2558.5266
14,2589.0334
15,2594.2766
16,2588.8867
17,2593.0667
18,2592.37
19,2591.2334
20,2589.18
21,2605.9368
22,2551.9634
23,2587.8967
0,2583.57
1,2586.21
2,2582.1033
3,2584.5598
4,2585.88
5,2583.13
6,2556.4734
7,2596.55
8,2588.9233
9,2593.2866
10,2592.59
11,2589.6567
12,2597.1367
13,2591.27
14,2592.0034
15,2594.9
16,2591.1965
17,2595.193
18,2591.05
19,2590.28
20,2589.84
21,2589.8035
22,2598.8599
23,1848.44
0,2053.59
1,1673.2101
2,2041.27
3,2227.3533
4,2422.8599
5,2409.0366
6,2595.78
7,2594.5334
8,2592.7
9,2594.8633
10,2595.7432
11,2589.693
12,2590.7568
13,2574.77
14,2593.6533
15,2592.9568
16,2587.8967
17,2594.3132
18,2590.9402
19,2590.8667
20,2588.2632
21,2581.26
22,2568.28
23,2586.76
0,2591.0867
1,2588.2266
2,2587.6033
3,2587.4202
4,2586.6868
5,2582.1765
6,2580.2334
7,2584.8901
8,2589.73
9,2588.0432
10,2582.91
11,2588.6667
12,2590.8298
13,2594.8633
14,2478.5564
15,2566.2632
16,2182.4
17,1641.3099
18,2732.693
19,3130.82
20,3128.2166
21,3203.4568
22,3211.7068
23,3154.7266
0,2434.9233
1,2360.49
2,1789.15
3,1640.6866
4,1641.0167
5,1640.5767
6,1639.88
7,1640.1
8,1639.8434
9,1640.0267
10,1638.89
11,1637.8267
12,2463.9265
13,1731.2534
14,1833.59
15,2207.48
16,1925.9166
17,2087.6167
18,1642.1901
19,1642.5568
20,1655.06
21,1648.9
22,1641.8966
23,1642.2634
0,1642.8867
1,1642.3734
2,1656.8567
3,1652.75
4,1642.2267
5,1641.9333
6,1641.5667
7,1641.09
8,1641.2733
9,1641.2
10,1644.7933
11,1641.7133
12,1641.1633
13,1641.09
14,1641.3466
15,1642.0801
16,1642.0066
17,1643.2534
18,1644.3167
19,1643.9133
20,1642.9967
21,1642.5934
22,1641.86
23,1642.9233
0,1644.2434
1,1643.6566
2,1646.92
3,1646.37
4,1641.9701
5,1642.1167
6,1641.8234
7,1642.0066
8,1642.3
9,1642.5934
10,1642.85
11,1642.5934
12,1642.5934
13,1642.7401
14,1643.95
15,1643.7667
16,1644.9034
17,1645.7466
18,1645.7466
19,1644.4633
20,1643.95
21,1643.7667
22,1642.7767
23,1642.7767
0,1642.9601
1,1644.5
2,1643.9133
3,1644.17
4,1643.5468
5,1643.4
6,1642.9233
7,1642.9233
8,1643.18
9,1643.18
10,1642.6301
11,1642.3733
12,1642.9233
13,1642.8134
14,1642.3734
15,1642.4468
16,1641.86
17,1641.2733
18,1641.09
19,1641.1266
20,1641.1633
21,1641.2
22,1641.5299
23,1642.2267
0,1642.4468
1,1642.7401
2,1642.3367
3,1642.52
4,1642.3367
5,1642.1534
6,1641.9333
7,1640.9434
8,1641.0532
9,1641.0167
10,1640.7966
11,1640.6133
12,1640.65
13,1646.81
14,1643.0701
15,1677.9034
16,1683.9166
17,1669.2133
18,1678.3066
19,1694.77
20,1719.0801
21,1766.7101
22,1765.83
23,1765.3167
0,1764.7301
1,1764.84
2,1764.1067
3,1763.8867
4,1763.8867
5,1763.8867
