;;HP_Eta_nominal;HP_Pmax_nominal
35;-30;0.001;0.001
35;-20;0.001;0.001
35;-15;0.464;0.62
35;-10;0.458;0.65
35;-7;0.458;0.65
35;-2;0.469;0.65
35;2;0.462;0.65
35;7;0.435;0.68
35;10;0.416;0.68
35;15;0.37;0.68
35;20;0.307;0.68
45;-30;0.001;0.001
45;-20;0.001;0.001
45;-15;0.445;0.74
45;-10;0.463;0.74
45;-7;0.464;0.74
45;-2;0.46;0.76
45;2;0.446;0.79
45;7;0.439;0.82
45;10;0.436;0.82
45;15;0.43;0.79
45;20;0.396;0.79
55;-30;0.001;0.001
55;-20;0.001;0.001
55;-15;0.415;0.83
55;-10;0.418;0.87
55;-7;0.421;0.91
55;-2;0.423;0.94
55;2;0.416;0.97
55;7;0.439;0.97
55;10;0.436;0.97
55;15;0.412;1
55;20;0.395;1
68;-30;0.001;0.001
68;-20;0.001;0.001
68;-15;0.415;0.83
68;-10;0.418;0.87
68;-7;0.421;0.91
68;-2;0.423;0.94
68;2;0.416;0.97
68;7;0.439;0.97
68;10;0.436;0.97
68;15;0.412;1
68;20;0.395;1
