,Load_Profile
0,429.4181329861112
1,433.2882215277778
2,438.4870986805556
3,429.59318888888885
4,422.6576190277777
5,428.332397986111
6,429.8764497222222
7,429.6156321527777
8,430.0963036805556
9,429.9411822222222
10,431.62336534722226
11,1240.0
12,1240.0
13,1240.0
14,412.5077463888888
15,420.9122871527777
16,417.59374756944436
17,416.0378361805555
18,423.98733173611106
19,424.67920687500003
20,422.11480986111115
21,1240.0
22,703.8098378472237
23,1240.0
24,1240.0
25,1240.0
26,1240.0
27,1240.0
28,1240.0
29,723.0366292361147
30,424.7931999305555
31,434.48374666666666
32,424.9873857638889
33,423.0751714583334
34,430.5610506944445
35,431.151341736111
36,423.7455692361112
37,425.38141090277776
38,415.246951388889
39,406.2915538888889
40,407.41762979166674
41,406.61977416666673
42,401.9305684722222
43,398.10672659722223
44,396.33068562499994
45,391.72774666666663
46,399.17334722222216
47,401.8365730555556
48,404.9599307638888
49,410.340437986111
50,413.3981074999999
51,1240.0
52,1240.0
53,418.0805304861112
54,417.23116020833334
55,1240.0
56,407.1857698611111
57,411.0815299305554
58,412.058242361111
59,410.8572066666667
60,1240.0
61,1240.0
62,394.6375071527777
63,418.32280340277777
64,416.8130536111112
65,512.732100069449
66,416.66751631944453
67,416.25002902777766
68,415.6141908333333
69,417.0224236111111
70,421.3386566666667
71,420.49980631944436
72,417.3931120138889
73,412.1807763888887
74,409.0310267361112
75,410.2569206944443
76,412.89484055555545
77,408.7084516666666
78,402.6271861111111
79,395.21445541666657
80,389.5156975694445
81,391.57041000000004
82,397.19010819444435
83,457.680827361116
84,1240.0
85,1240.0
86,1240.0
87,399.59861180555544
88,405.28266625
89,414.10535298611114
90,421.8063728472222
91,419.82660124999984
92,414.30073951388886
93,418.7481530555555
94,1240.0
95,1240.0
96,404.7273324305557
97,1240.0
98,1240.0
99,1240.0
100,1240.0
101,1240.0
102,513.0789572222252
103,413.5099796527779
104,420.1706075
105,427.16615229166666
106,427.1645
107,424.2434447222221
108,424.57634673611113
109,426.66242305555556
110,426.97608430555556
111,424.2222118749999
112,417.2830836805556
113,413.29043631944444
114,414.0874772222222
115,416.22756923611115
116,419.29718590277787
117,416.7869718055555
118,418.2431429166667
119,425.7268910416665
120,1240.0
121,780.4192523611117
122,435.24810145833317
123,1240.0
124,1240.0
125,1240.0
126,1240.0
127,417.64355986111116
128,416.38833979166657
129,418.7109499999999
130,428.33696791666665
131,427.6706529861111
132,425.42174159722214
133,435.20408458333327
134,438.5522818055555
135,436.9295340277776
136,434.2847497916666
137,437.39571069444435
138,435.8103871527779
139,437.72429020833334
140,444.21416909722234
141,443.57352229166656
142,443.78041020833314
143,425.84417263888884
144,421.7594781944443
145,426.4009959027779
146,419.5242430555555
147,424.3432875694444
148,429.89311993055543
149,433.6685709027777
150,432.93059930555563
151,441.90925625
152,445.304155625
153,443.452366875
154,440.30743847222215
155,441.2488558333331
156,433.16452229166663
157,438.1789241666667
158,441.9060566666666
159,434.9508829166667
160,434.5865056944443
161,732.3892685416639
162,424.9501822222222
163,1240.0
164,1240.0
165,1240.0
166,1240.0
167,1240.0
168,1240.0
169,1240.0
170,1240.0
171,1240.0
172,1240.0
173,747.1159972222208
174,412.3584115972223
175,411.2775172916667
176,414.21308930555557
177,417.5242200694445
178,424.17308499999984
179,436.03067812499995
180,427.58950791666655
181,437.9456005555555
182,435.47656736111105
183,429.659094375
184,425.5661073611112
185,410.65033187499995
186,430.5380265277776
187,431.7277387499999
188,433.8441221527777
189,441.03073194444414
190,439.66750722222224
191,436.1808903472222
192,1240.0
193,1240.0
194,1240.0
195,1240.0
196,1240.0
197,598.9123204166732
198,413.53658597222216
