ResourceBalances,Period,Time,GWP_supply
Electricity,1,1,0.0209063229825
Electricity,1,2,0.019283987297500003
Electricity,1,3,0.019580462495
Electricity,1,4,0.021180990325
Electricity,1,5,0.0219591264425
Electricity,1,6,0.0296146022625
Electricity,1,7,0.04531453897
Electricity,1,8,0.0346907123075
Electricity,1,9,0.0282378394825
Electricity,1,10,0.036809391895
Electricity,1,11,0.0407655493875
Electricity,1,12,0.0374079476175
Electricity,1,13,0.02393188327
Electricity,1,14,0.025024479355
Electricity,1,15,0.029185445820000003
Electricity,1,16,0.0288977854975
Electricity,1,17,0.02896141925
Electricity,1,18,0.03426790755
Electricity,1,19,0.034551293825
Electricity,1,20,0.0333653758025
Electricity,1,21,0.0262745496625
Electricity,1,22,0.0248256894925
Electricity,1,23,0.0226800302225
Electricity,1,24,0.028547394085
Electricity,2,1,0.06549382334
Electricity,2,2,0.061644464602500004
Electricity,2,3,0.057971508635
Electricity,2,4,0.0579372759325
Electricity,2,5,0.0642297674325
Electricity,2,6,0.061361981035
Electricity,2,7,0.04942625949
Electricity,2,8,0.076377333345
Electricity,2,9,0.06629615590749999
Electricity,2,10,0.0703703608825
Electricity,2,11,0.06478478341749999
Electricity,2,12,0.06058807463
Electricity,2,13,0.04932830066
Electricity,2,14,0.049670804807499996
Electricity,2,15,0.04845002786
Electricity,2,16,0.0407237383725
Electricity,2,17,0.0542729179375
Electricity,2,18,0.059178073515
Electricity,2,19,0.0676103761825
Electricity,2,20,0.06859406209
Electricity,2,21,0.07090122395000001
Electricity,2,22,0.0771603164075
Electricity,2,23,0.0829352898675
Electricity,2,24,0.0670245524975
Electricity,3,1,0.07795508509
Electricity,3,2,0.07130144102
Electricity,3,3,0.0621867468675
Electricity,3,4,0.0624836644425
Electricity,3,5,0.0643625022275
Electricity,3,6,0.0587825419925
Electricity,3,7,0.06347662864
Electricity,3,8,0.04994729729
Electricity,3,9,0.050748481585
Electricity,3,10,0.06581400277
Electricity,3,11,0.0686833753225
Electricity,3,12,0.0559228625375
Electricity,3,13,0.0462967988325
Electricity,3,14,0.04714781533
Electricity,3,15,0.0434966105425
Electricity,3,16,0.05776626599
Electricity,3,17,0.081107556385
Electricity,3,18,0.064888946405
Electricity,3,19,0.0775588318975
Electricity,3,20,0.08314744905500002
Electricity,3,21,0.06492755711499999
Electricity,3,22,0.0526981940325
Electricity,3,23,0.0526639925025
Electricity,3,24,0.046266428365
Electricity,4,1,0.16188133740000002
Electricity,4,2,0.096794989875
Electricity,4,3,0.126161644175
Electricity,4,4,0.074976230565
Electricity,4,5,0.0945238198975
Electricity,4,6,0.12395635672500001
Electricity,4,7,0.07349329428
Electricity,4,8,0.0784764542925
Electricity,4,9,0.08179107623
Electricity,4,10,0.0607191240825
Electricity,4,11,0.04170563509999999
Electricity,4,12,0.034469441074999996
Electricity,4,13,0.0465942676875
Electricity,4,14,0.0543072580825
Electricity,4,15,0.050899967355
Electricity,4,16,0.0397307444475
Electricity,4,17,0.054654117035
Electricity,4,18,0.0657684471425
Electricity,4,19,0.0687045808475
Electricity,4,20,0.09608464413750001
Electricity,4,21,0.18924360242500002
Electricity,4,22,0.17477574612500002
Electricity,4,23,0.222277006075
Electricity,4,24,0.210803848625
