,,,GWP_supply
Electricity,1,1,0.353
Electricity,1,2,0.342
Electricity,1,3,0.331
Electricity,1,4,0.3289999999999999
Electricity,1,5,0.313
Electricity,1,6,0.33
Electricity,1,7,0.4039999999999999
Electricity,1,8,0.527
Electricity,1,9,0.5529999999999999
Electricity,1,10,0.579
Electricity,1,11,0.568
Electricity,1,12,0.568
Electricity,1,13,0.526
Electricity,1,14,0.489
Electricity,1,15,0.452
Electricity,1,16,0.481
Electricity,1,17,0.535
Electricity,1,18,0.583
Electricity,1,19,0.578
Electricity,1,20,0.536
Electricity,1,21,0.461
Electricity,1,22,0.342
Electricity,1,23,0.315
Electricity,1,24,0.296
Electricity,2,1,0.33
Electricity,2,2,0.287
Electricity,2,3,0.259
Electricity,2,4,0.246
Electricity,2,5,0.24
Electricity,2,6,0.242
Electricity,2,7,0.258
Electricity,2,8,0.302
Electricity,2,9,0.3879999999999999
Electricity,2,10,0.479
Electricity,2,11,0.449
Electricity,2,12,0.45
Electricity,2,13,0.4529999999999999
Electricity,2,14,0.413
Electricity,2,15,0.359
Electricity,2,16,0.342
Electricity,2,17,0.315
Electricity,2,18,0.484
Electricity,2,19,0.526
Electricity,2,20,0.5
Electricity,2,21,0.43
Electricity,2,22,0.371
Electricity,2,23,0.385
Electricity,2,24,0.345
Electricity,3,1,0.271
Electricity,3,2,0.276
Electricity,3,3,0.272
Electricity,3,4,0.254
Electricity,3,5,0.266
Electricity,3,6,0.271
Electricity,3,7,0.263
Electricity,3,8,0.263
Electricity,3,9,0.255
Electricity,3,10,0.251
Electricity,3,11,0.293
Electricity,3,12,0.31
Electricity,3,13,0.3389999999999999
Electricity,3,14,0.359
Electricity,3,15,0.322
Electricity,3,16,0.2739999999999999
Electricity,3,17,0.257
Electricity,3,18,0.257
Electricity,3,19,0.252
Electricity,3,20,0.266
Electricity,3,21,0.263
Electricity,3,22,0.253
Electricity,3,23,0.261
Electricity,3,24,0.271
Electricity,4,1,0.214
Electricity,4,2,0.193
Electricity,4,3,0.188
Electricity,4,4,0.1889999999999999
Electricity,4,5,0.187
Electricity,4,6,0.2189999999999999
Electricity,4,7,0.503
Electricity,4,8,0.5770000000000001
Electricity,4,9,0.591
Electricity,4,10,0.5920000000000001
Electricity,4,11,0.575
Electricity,4,12,0.537
Electricity,4,13,0.476
Electricity,4,14,0.423
Electricity,4,15,0.369
Electricity,4,16,0.3879999999999999
Electricity,4,17,0.493
Electricity,4,18,0.5760000000000001
Electricity,4,19,0.612
Electricity,4,20,0.655
Electricity,4,21,0.6579999999999999
Electricity,4,22,0.562
Electricity,4,23,0.347
Electricity,4,24,0.299
Electricity,5,1,0.242
Electricity,5,2,0.228
Electricity,5,3,0.2319999999999999
Electricity,5,4,0.236
Electricity,5,5,0.242
Electricity,5,6,0.251
Electricity,5,7,0.299
Electricity,5,8,0.369
Electricity,5,9,0.418
Electricity,5,10,0.419
Electricity,5,11,0.371
Electricity,5,12,0.357
Electricity,5,13,0.313
Electricity,5,14,0.311
Electricity,5,15,0.316
Electricity,5,16,0.365
Electricity,5,17,0.435
Electricity,5,18,0.5379999999999999
Electricity,5,19,0.5529999999999999
Electricity,5,20,0.4629999999999999
Electricity,5,21,0.359
Electricity,5,22,0.2769999999999999
Electricity,5,23,0.273
Electricity,5,24,0.268
Electricity,6,1,0.322
Electricity,6,2,0.259
Electricity,6,3,0.237
Electricity,6,4,0.218
Electricity,6,5,0.222
Electricity,6,6,0.289
Electricity,6,7,0.427
Electricity,6,8,0.562
Electricity,6,9,0.5489999999999999
Electricity,6,10,0.563
Electricity,6,11,0.474
Electricity,6,12,0.424
Electricity,6,13,0.4039999999999999
Electricity,6,14,0.411
Electricity,6,15,0.381
Electricity,6,16,0.382
Electricity,6,17,0.36
Electricity,6,18,0.3779999999999999
Electricity,6,19,0.427
Electricity,6,20,0.475
Electricity,6,21,0.515
Electricity,6,22,0.487
Electricity,6,23,0.456
Electricity,6,24,0.36
Electricity,7,1,0.302
Electricity,7,2,0.313
Electricity,7,3,0.292
Electricity,7,4,0.264
Electricity,7,5,0.25
Electricity,7,6,0.285
Electricity,7,7,0.591
Electricity,7,8,0.612
Electricity,7,9,0.613
Electricity,7,10,0.604
Electricity,7,11,0.522
Electricity,7,12,0.478
Electricity,7,13,0.418
Electricity,7,14,0.359
Electricity,7,15,0.349
Electricity,7,16,0.321
Electricity,7,17,0.305
Electricity,7,18,0.33
Electricity,7,19,0.444
Electricity,7,20,0.55
Electricity,7,21,0.487
Electricity,7,22,0.344
Electricity,7,23,0.321
Electricity,7,24,0.296
Electricity,8,1,0.442
Electricity,8,2,0.456
Electricity,8,3,0.46
Electricity,8,4,0.452
Electricity,8,5,0.4379999999999999
Electricity,8,6,0.41
Electricity,8,7,0.405
Electricity,8,8,0.424
Electricity,8,9,0.44
Electricity,8,10,0.483
Electricity,8,11,0.498
Electricity,8,12,0.488
Electricity,8,13,0.488
Electricity,8,14,0.45
Electricity,8,15,0.444
Electricity,8,16,0.4379999999999999
Electricity,8,17,0.376
Electricity,8,18,0.377
Electricity,8,19,0.4589999999999999
Electricity,8,20,0.552
Electricity,8,21,0.568
Electricity,8,22,0.589
Electricity,8,23,0.628
Electricity,8,24,0.561
Electricity,9,1,0.555
Electricity,9,2,0.4589999999999999
Electricity,9,3,0.413
Electricity,9,4,0.397
Electricity,9,5,0.446
Electricity,9,6,0.41
Electricity,9,7,0.389
Electricity,9,8,0.407
Electricity,9,9,0.523
Electricity,9,10,0.52
Electricity,9,11,0.472
Electricity,9,12,0.483
Electricity,9,13,0.539
Electricity,9,14,0.461
Electricity,9,15,0.413
Electricity,9,16,0.3939999999999999
Electricity,9,17,0.376
Electricity,9,18,0.45
Electricity,9,19,0.569
Electricity,9,20,0.6990000000000001
Electricity,9,21,0.706
Electricity,9,22,0.715
Electricity,9,23,0.708
Electricity,9,24,0.652
Electricity,10,1,0.309
Electricity,10,2,0.322
Electricity,10,3,0.298
Electricity,10,4,0.29
Electricity,10,5,0.2789999999999999
Electricity,10,6,0.276
Electricity,10,7,0.337
Electricity,10,8,0.5
Electricity,10,9,0.51
Electricity,10,10,0.532
Electricity,10,11,0.4589999999999999
Electricity,10,12,0.433
Electricity,10,13,0.431
Electricity,10,14,0.417
Electricity,10,15,0.382
Electricity,10,16,0.366
Electricity,10,17,0.372
Electricity,10,18,0.384
Electricity,10,19,0.474
Electricity,10,20,0.507
Electricity,10,21,0.51
Electricity,10,22,0.487
Electricity,10,23,0.456
Electricity,10,24,0.3229999999999999
Electricity,11,1,0.417
Electricity,12,1,0.55
