,,,GWP_supply
Electricity,1,1,0.253657
Electricity,1,2,0.24558600000000003
Electricity,1,3,0.200804
Electricity,1,4,0.186179
Electricity,1,5,0.199921
Electricity,1,6,0.232819
Electricity,1,7,0.243851
Electricity,1,8,0.279492
Electricity,1,9,0.28885400000000006
Electricity,1,10,0.287966
Electricity,1,11,0.26846499999999995
Electricity,1,12,0.263529
Electricity,1,13,0.24415299999999998
Electricity,1,14,0.25955700000000004
Electricity,1,15,0.26154200000000005
Electricity,1,16,0.250731
Electricity,1,17,0.255652
Electricity,1,18,0.23835499999999998
Electricity,1,19,0.261447
Electricity,1,20,0.25708600000000004
Electricity,1,21,0.24893400000000002
Electricity,1,22,0.294815
Electricity,1,23,0.291556
Electricity,1,24,0.30133499999999996
Electricity,2,1,0.31153800000000004
Electricity,2,2,0.35372699999999996
Electricity,2,3,0.383253
Electricity,2,4,0.359543
Electricity,2,5,0.371299
Electricity,2,6,0.35685500000000003
Electricity,2,7,0.34288
Electricity,2,8,0.340279
Electricity,2,9,0.32216
Electricity,2,10,0.28826999999999997
Electricity,2,11,0.30486599999999997
Electricity,2,12,0.290848
Electricity,2,13,0.26364
Electricity,2,14,0.265122
Electricity,2,15,0.276223
Electricity,2,16,0.29595800000000005
Electricity,2,17,0.313925
Electricity,2,18,0.284706
Electricity,2,19,0.26894
Electricity,2,20,0.277772
Electricity,2,21,0.313469
Electricity,2,22,0.326599
Electricity,2,23,0.284519
Electricity,2,24,0.270943
Electricity,3,1,0.043277
Electricity,3,2,0.056679
Electricity,3,3,0.052382
Electricity,3,4,0.040398
Electricity,3,5,0.051444000000000004
Electricity,3,6,0.049717
Electricity,3,7,0.037109
Electricity,3,8,0.040133
Electricity,3,9,0.032124
Electricity,3,10,0.027281
Electricity,3,11,0.053524999999999996
Electricity,3,12,0.061441
Electricity,3,13,0.08385
Electricity,3,14,0.09925700000000001
Electricity,3,15,0.090256
Electricity,3,16,0.053228000000000004
Electricity,3,17,0.031996
Electricity,3,18,0.033091999999999996
Electricity,3,19,0.028963000000000003
Electricity,3,20,0.029448000000000002
Electricity,3,21,0.031521
Electricity,3,22,0.031059
Electricity,3,23,0.034827
Electricity,3,24,0.042822000000000006
Electricity,4,1,0.29497199999999996
Electricity,4,2,0.271749
Electricity,4,3,0.28430500000000003
Electricity,4,4,0.293237
Electricity,4,5,0.286567
Electricity,4,6,0.308855
Electricity,4,7,0.24329699999999999
Electricity,4,8,0.19292099999999998
Electricity,4,9,0.213725
Electricity,4,10,0.21579900000000002
Electricity,4,11,0.223632
Electricity,4,12,0.24021199999999998
Electricity,4,13,0.225213
Electricity,4,14,0.232471
Electricity,4,15,0.263972
Electricity,4,16,0.268896
Electricity,4,17,0.25091
Electricity,4,18,0.224643
Electricity,4,19,0.20681
Electricity,4,20,0.207863
