ResourceBalances,Period,Time,GWP_supply
Electricity,1,1,0.0509548072325
Electricity,1,2,0.0533429384625
Electricity,1,3,0.0529672469125
Electricity,1,4,0.049480071192499996
Electricity,1,5,0.050478105282500005
Electricity,1,6,0.055710283835
Electricity,1,7,0.064950626305
Electricity,1,8,0.0709889111075
Electricity,1,9,0.07176619556
Electricity,1,10,0.0722379621075
Electricity,1,11,0.0708453485275
Electricity,1,12,0.07189672306
Electricity,1,13,0.06580634791500001
Electricity,1,14,0.06225385781
Electricity,1,15,0.06401991637750001
Electricity,1,16,0.06281297898
Electricity,1,17,0.0696061847175
Electricity,1,18,0.06761174199999999
Electricity,1,19,0.0690096703525
Electricity,1,20,0.0704996527375
Electricity,1,21,0.06533482612500001
Electricity,1,22,0.0661489367925
Electricity,1,23,0.0711304038625
Electricity,1,24,0.0649546142825
Electricity,2,1,0.15811620199999998
Electricity,2,2,0.1437642239
Electricity,2,3,0.121920745325
Electricity,2,4,0.11742372652500001
Electricity,2,5,0.09419291282749999
Electricity,2,6,0.07698134938
Electricity,2,7,0.038663798925
Electricity,2,8,0.02567955324
Electricity,2,9,0.0367866944525
Electricity,2,10,0.048506919867500005
Electricity,2,11,0.04485020786
Electricity,2,12,0.053950024534999995
Electricity,2,13,0.0529849462875
Electricity,2,14,0.0555045419425
Electricity,2,15,0.056831771767500004
Electricity,2,16,0.0587880706925
Electricity,2,17,0.037419295095
Electricity,2,18,0.066117112025
Electricity,2,19,0.08961628993
Electricity,2,20,0.113460205425
Electricity,2,21,0.107823114975
Electricity,2,22,0.128306689275
Electricity,2,23,0.119398522175
Electricity,2,24,0.0779256607975
Electricity,3,1,0.09678137482
Electricity,3,2,0.12294507034999999
Electricity,3,3,0.111681607925
Electricity,3,4,0.10427866229999999
Electricity,3,5,0.09923548189
Electricity,3,6,0.0997529958925
Electricity,3,7,0.08546703494999999
Electricity,3,8,0.08848037084499999
Electricity,3,9,0.090325064735
Electricity,3,10,0.08597948743
Electricity,3,11,0.07923374593
Electricity,3,12,0.10071768993249999
Electricity,3,13,0.10653260027499999
Electricity,3,14,0.11213596605
Electricity,3,15,0.119095011925
Electricity,3,16,0.123937890225
Electricity,3,17,0.0865907812775
Electricity,3,18,0.083124277305
Electricity,3,19,0.0655586763325
Electricity,3,20,0.0940537246325
Electricity,3,21,0.15430556654999997
Electricity,3,22,0.18303728545
Electricity,3,23,0.17628608742500002
Electricity,3,24,0.17022947167500002
Electricity,4,1,0.20373070205
Electricity,4,2,0.228302062475
Electricity,4,3,0.2097113717
Electricity,4,4,0.219331546575
Electricity,4,5,0.203919948225
Electricity,4,6,0.1185228058625
Electricity,4,7,0.027219999999999998
Electricity,4,8,0.048505687935
Electricity,4,9,0.102667837635
Electricity,4,10,0.145267947425
Electricity,4,11,0.190859893575
Electricity,4,12,0.19910927465
Electricity,4,13,0.175966115325
Electricity,4,14,0.17414051317499998
Electricity,4,15,0.147000866275
Electricity,4,16,0.059586291285
Electricity,4,17,0.02807
Electricity,4,18,0.02881
Electricity,4,19,0.036415951829999994
Electricity,4,20,0.05318455831
Electricity,4,21,0.083894718915
Electricity,4,22,0.161065259275
Electricity,4,23,0.2654221068
Electricity,4,24,0.246751484175
Electricity,5,1,0.070842478375
Electricity,5,2,0.0654929916925
Electricity,5,3,0.05696485584
Electricity,5,4,0.071563457345
Electricity,5,5,0.0812947929675
Electricity,5,6,0.052614340245
Electricity,5,7,0.0597795258425
Electricity,5,8,0.06292184613
Electricity,5,9,0.07419860303999999
Electricity,5,10,0.08369546778999999
Electricity,5,11,0.08909745431749999
Electricity,5,12,0.07026412788249999
Electricity,5,13,0.07469568642999999
Electricity,5,14,0.06307372126500001
Electricity,5,15,0.050640859605000005
Electricity,5,16,0.053975469397499996
Electricity,5,17,0.0680731945625
Electricity,5,18,0.07502113632999999
Electricity,5,19,0.0759325012325
Electricity,5,20,0.09241242126999999
Electricity,5,21,0.1033580319
