,,,GWP_supply
Electricity,1,1,0.3229999999999999
Electricity,1,2,0.321
Electricity,1,3,0.291
Electricity,1,4,0.281
Electricity,1,5,0.2789999999999999
Electricity,1,6,0.283
Electricity,1,7,0.365
Electricity,1,8,0.49
Electricity,1,9,0.529
Electricity,1,10,0.534
Electricity,1,11,0.537
Electricity,1,12,0.53
Electricity,1,13,0.485
Electricity,1,14,0.419
Electricity,1,15,0.417
Electricity,1,16,0.4039999999999999
Electricity,1,17,0.422
Electricity,1,18,0.484
Electricity,1,19,0.561
Electricity,1,20,0.5489999999999999
Electricity,1,21,0.517
Electricity,1,22,0.395
Electricity,1,23,0.392
Electricity,1,24,0.361
Electricity,2,1,0.33
Electricity,2,2,0.287
Electricity,2,3,0.259
Electricity,2,4,0.246
Electricity,2,5,0.24
Electricity,2,6,0.242
Electricity,2,7,0.258
Electricity,2,8,0.302
Electricity,2,9,0.3879999999999999
Electricity,2,10,0.479
Electricity,2,11,0.449
Electricity,2,12,0.45
Electricity,2,13,0.4529999999999999
Electricity,2,14,0.413
Electricity,2,15,0.359
Electricity,2,16,0.342
Electricity,2,17,0.315
Electricity,2,18,0.484
Electricity,2,19,0.526
Electricity,2,20,0.5
Electricity,2,21,0.43
Electricity,2,22,0.371
Electricity,2,23,0.385
Electricity,2,24,0.345
Electricity,3,1,0.271
Electricity,3,2,0.276
Electricity,3,3,0.272
Electricity,3,4,0.254
Electricity,3,5,0.266
Electricity,3,6,0.271
Electricity,3,7,0.263
Electricity,3,8,0.263
Electricity,3,9,0.255
Electricity,3,10,0.251
Electricity,3,11,0.293
Electricity,3,12,0.31
Electricity,3,13,0.3389999999999999
Electricity,3,14,0.359
Electricity,3,15,0.322
Electricity,3,16,0.2739999999999999
Electricity,3,17,0.257
Electricity,3,18,0.257
Electricity,3,19,0.252
Electricity,3,20,0.266
Electricity,3,21,0.263
Electricity,3,22,0.253
Electricity,3,23,0.261
Electricity,3,24,0.271
Electricity,4,1,0.2769999999999999
Electricity,4,2,0.282
Electricity,4,3,0.265
Electricity,4,4,0.238
Electricity,4,5,0.2339999999999999
Electricity,4,6,0.252
Electricity,4,7,0.441
Electricity,4,8,0.639
Electricity,4,9,0.662
Electricity,4,10,0.652
Electricity,4,11,0.602
Electricity,4,12,0.579
Electricity,4,13,0.537
Electricity,4,14,0.4679999999999999
Electricity,4,15,0.432
Electricity,4,16,0.455
Electricity,4,17,0.563
Electricity,4,18,0.625
Electricity,4,19,0.608
Electricity,4,20,0.569
Electricity,4,21,0.517
Electricity,4,22,0.397
Electricity,4,23,0.345
Electricity,4,24,0.313
Electricity,5,1,0.302
Electricity,5,2,0.283
Electricity,5,3,0.267
Electricity,5,4,0.256
Electricity,5,5,0.244
Electricity,5,6,0.244
Electricity,5,7,0.26
Electricity,5,8,0.253
Electricity,5,9,0.288
Electricity,5,10,0.285
Electricity,5,11,0.255
Electricity,5,12,0.26
Electricity,5,13,0.341
Electricity,5,14,0.306
Electricity,5,15,0.311
Electricity,5,16,0.353
Electricity,5,17,0.355
Electricity,5,18,0.402
Electricity,5,19,0.4479999999999999
Electricity,5,20,0.439
Electricity,5,21,0.387
Electricity,5,22,0.361
Electricity,5,23,0.348
Electricity,5,24,0.356
Electricity,6,1,0.258
Electricity,6,2,0.261
Electricity,6,3,0.263
Electricity,6,4,0.256
Electricity,6,5,0.251
Electricity,6,6,0.26
Electricity,6,7,0.319
Electricity,6,8,0.416
Electricity,6,9,0.469
Electricity,6,10,0.481
Electricity,6,11,0.447
Electricity,6,12,0.475
Electricity,6,13,0.442
Electricity,6,14,0.352
Electricity,6,15,0.3289999999999999
Electricity,6,16,0.346
Electricity,6,17,0.39
Electricity,6,18,0.518
Electricity,6,19,0.627
Electricity,6,20,0.601
Electricity,6,21,0.3979999999999999
Electricity,6,22,0.3229999999999999
Electricity,6,23,0.319
Electricity,6,24,0.292
Electricity,7,1,0.242
Electricity,7,2,0.228
Electricity,7,3,0.2319999999999999
Electricity,7,4,0.236
Electricity,7,5,0.242
Electricity,7,6,0.251
Electricity,7,7,0.299
Electricity,7,8,0.369
Electricity,7,9,0.418
Electricity,7,10,0.419
Electricity,7,11,0.371
Electricity,7,12,0.357
Electricity,7,13,0.313
Electricity,7,14,0.311
Electricity,7,15,0.316
Electricity,7,16,0.365
Electricity,7,17,0.435
Electricity,7,18,0.5379999999999999
Electricity,7,19,0.5529999999999999
Electricity,7,20,0.4629999999999999
Electricity,7,21,0.359
Electricity,7,22,0.2769999999999999
Electricity,7,23,0.273
Electricity,7,24,0.268
Electricity,8,1,0.34
Electricity,8,2,0.332
Electricity,8,3,0.3289999999999999
Electricity,8,4,0.325
Electricity,8,5,0.326
Electricity,8,6,0.336
Electricity,8,7,0.3329999999999999
Electricity,8,8,0.363
Electricity,8,9,0.441
Electricity,8,10,0.439
Electricity,8,11,0.369
Electricity,8,12,0.366
Electricity,8,13,0.4029999999999999
Electricity,8,14,0.376
Electricity,8,15,0.36
Electricity,8,16,0.335
Electricity,8,17,0.322
Electricity,8,18,0.337
Electricity,8,19,0.3929999999999999
Electricity,8,20,0.414
Electricity,8,21,0.445
Electricity,8,22,0.386
Electricity,8,23,0.423
Electricity,8,24,0.437
Electricity,9,1,0.302
Electricity,9,2,0.313
Electricity,9,3,0.292
Electricity,9,4,0.264
Electricity,9,5,0.25
Electricity,9,6,0.285
Electricity,9,7,0.591
Electricity,9,8,0.612
Electricity,9,9,0.613
Electricity,9,10,0.604
Electricity,9,11,0.522
Electricity,9,12,0.478
Electricity,9,13,0.418
Electricity,9,14,0.359
Electricity,9,15,0.349
Electricity,9,16,0.321
Electricity,9,17,0.305
Electricity,9,18,0.33
Electricity,9,19,0.444
Electricity,9,20,0.55
Electricity,9,21,0.487
Electricity,9,22,0.344
Electricity,9,23,0.321
Electricity,9,24,0.296
Electricity,10,1,0.6759999999999999
Electricity,10,2,0.64
Electricity,10,3,0.595
Electricity,10,4,0.5770000000000001
Electricity,10,5,0.5579999999999999
Electricity,10,6,0.561
Electricity,10,7,0.593
Electricity,10,8,0.624
Electricity,10,9,0.655
Electricity,10,10,0.6679999999999999
Electricity,10,11,0.657
Electricity,10,12,0.6509999999999999
Electricity,10,13,0.657
Electricity,10,14,0.654
Electricity,10,15,0.644
Electricity,10,16,0.637
Electricity,10,17,0.632
Electricity,10,18,0.6659999999999999
Electricity,10,19,0.718
Electricity,10,20,0.726
Electricity,10,21,0.713
Electricity,10,22,0.713
Electricity,10,23,0.732
Electricity,10,24,0.69
Electricity,11,1,0.555
Electricity,11,2,0.4589999999999999
Electricity,11,3,0.413
Electricity,11,4,0.397
Electricity,11,5,0.446
Electricity,11,6,0.41
Electricity,11,7,0.389
Electricity,11,8,0.407
Electricity,11,9,0.523
Electricity,11,10,0.52
Electricity,11,11,0.472
