Date	Day	Frequency	Weekday
01/22/2005/00	22	15.0	0.0
01/25/2005/00	25	16.0	1.0
01/07/2005/00	7	3.0	1.0
03/10/2005/00	69	33.0	1.0
01/23/2005/00	23	32.0	0.0
11/25/2005/00	329	16.0	1.0
04/20/2005/00	110	18.0	1.0
02/25/2005/00	56	17.0	1.0
11/13/2005/00	317	21.0	0.0
11/01/2005/00	305	18.0	1.0
09/23/2005/00	266	8.0	1.0
08/09/2005/00	221	26.0	1.0
05/19/2005/00	139	29.0	1.0
06/03/2005/00	154	19.0	1.0
10/13/2005/00	286	15.0	1.0
08/12/2005/00	224	18.0	1.0
07/10/2005/00	191	29.0	0.0
09/07/2005/00	250	14.0	1.0
07/20/2005/00	201	9.0	1.0
06/24/2005/00	175	9.0	1.0
01/08/2005/00	8	1.0	0.0
07/26/2005/00	207	1.0	1.0
